Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,2160,172,1220.00,2131,0,0.00,0,0.00,2.06,4.38,10.00
1.00,2.00,0.80,0.40,2160,417,1102.10,2108,0,0.00,0,0.00,2.12,4.38,3.33
1.00,2.00,0.80,0.30,2160,355,1122.37,2156,0,0.00,0,0.00,2.35,4.38,3.33
1.00,2.00,0.80,0.20,2160,326,1195.43,2076,0,0.00,0,0.00,2.37,4.38,10.00
1.00,2.00,0.80,1.00,2160,629,1343.73,2158,0,0.00,0,0.00,2.50,4.46,13.33
1.00,2.00,0.80,0.10,2160,180,1129.27,2138,0,0.00,0,0.00,2.50,4.38,13.33
1.00,2.00,0.80,0.80,2160,187,1222.93,2077,0,0.00,0,0.00,2.55,4.38,3.33
1.00,2.00,0.80,0.90,2160,224,982.17,2089,0,0.00,0,0.00,2.70,4.38,6.67
1.00,2.00,0.80,0.60,2160,195,929.70,1929,0,0.00,0,0.00,3.00,4.38,10.00
1.00,2.00,0.80,0.50,2160,377,1171.73,2151,0,0.00,0,0.00,3.16,4.46,10.00
