Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,0.75,2160,257,1495.60,2091,0,0.00,0,0.00,0.90,4.38,23.33
1.00,2.00,0.80,0.10,1.00,2160,257,1495.60,2091,0,0.00,0,0.00,0.90,4.38,23.33
1.00,2.00,0.80,0.30,0.00,2160,468,1532.80,2151,0,0.00,0,0.00,1.44,4.31,16.67
1.00,2.00,0.80,0.20,0.75,2160,353,1499.80,2132,0,0.00,0,0.00,1.48,4.46,13.33
1.00,2.00,0.80,0.20,1.00,2160,353,1499.80,2132,0,0.00,0,0.00,1.48,4.46,13.33
1.00,2.00,0.80,0.20,0.00,2160,213,1378.97,2158,0,0.00,0,0.00,1.50,4.38,13.33
1.00,2.00,0.80,0.40,0.00,2160,350,1653.00,2141,0,0.00,0,0.00,1.68,5.52,10.00
1.00,2.00,0.80,0.10,0.25,2160,43,1316.77,2142,0,0.00,0,0.00,1.85,4.46,13.33
1.00,2.00,0.80,0.50,0.00,2160,1182,1735.00,2126,0,0.00,0,0.00,1.95,6.53,3.33
1.00,2.00,0.80,0.10,0.00,2160,115,1099.77,2156,0,0.00,0,0.00,1.97,4.46,20.00
1.00,2.00,0.80,0.10,0.50,2160,529,1352.63,2025,0,0.00,0,0.00,2.20,4.46,3.33
1.00,2.00,0.80,0.20,0.25,2160,147,1527.40,2135,0,0.00,0,0.08,2.48,4.54,0.00
1.00,2.00,0.80,0.20,0.50,2160,149,1455.50,2143,0,0.00,0,0.08,2.51,4.42,0.00
1.00,2.00,0.80,0.30,0.25,2160,403,1593.53,2157,0,0.00,0,0.00,2.53,5.22,3.33
1.00,2.00,0.80,0.40,0.75,2160,907,1816.77,2152,0,0.00,0,0.08,2.62,4.54,0.00
1.00,2.00,0.80,0.40,1.00,2160,907,1816.77,2152,0,0.00,0,0.08,2.62,4.54,0.00
1.00,2.00,0.80,0.30,0.75,2160,751,1750.63,2159,0,0.00,0,0.00,2.71,4.61,10.00
1.00,2.00,0.80,0.30,1.00,2160,751,1750.63,2159,0,0.00,0,0.00,2.71,4.61,10.00
1.00,2.00,0.80,0.60,0.00,2160,1222,1810.77,2136,0,0.00,0,0.00,2.75,6.76,3.33
1.00,2.00,0.80,0.50,0.50,2160,764,1837.77,2155,0,0.00,0,0.08,2.76,6.68,0.00
1.00,2.00,0.80,0.30,0.50,2160,331,1659.00,2142,0,0.00,0,0.00,2.79,5.07,3.33
1.00,2.00,0.80,0.80,0.00,2160,1090,1834.80,2154,0,0.00,0,0.08,2.90,6.68,0.00
1.00,2.00,0.80,0.40,0.50,2160,782,1705.93,2122,0,0.00,0,0.08,3.04,5.14,0.00
1.00,2.00,0.80,1.00,0.00,2160,1344,1942.97,2159,0,0.00,0,0.00,3.10,7.86,6.67
1.00,2.00,0.80,0.50,0.25,2160,627,1881.93,2149,0,0.00,0,0.00,3.14,5.30,3.33
1.00,2.00,0.80,0.40,0.25,2160,1002,1810.77,2145,0,0.00,0,0.08,3.17,5.14,0.00
1.00,2.00,0.80,0.50,0.75,2160,493,1725.37,2152,0,0.00,0,0.08,3.19,4.69,0.00
1.00,2.00,0.80,0.50,1.00,2160,493,1725.37,2152,0,0.00,0,0.08,3.19,4.69,0.00
1.00,2.00,0.80,0.70,0.00,2160,1181,1871.47,2156,0,0.00,0,0.00,3.31,6.60,3.33
1.00,2.00,0.80,0.90,0.00,2160,1443,1943.77,2157,0,0.00,0,0.08,3.57,8.77,0.00
1.00,2.00,0.80,0.60,0.50,2160,948,1867.97,2157,0,0.00,0,0.08,3.92,5.75,0.00
1.00,2.00,0.80,0.90,0.75,2160,1229,1885.70,2155,0,0.00,0,0.08,3.95,6.68,0.00
1.00,2.00,0.80,0.90,1.00,2160,1229,1885.70,2155,0,0.00,0,0.08,3.95,6.68,0.00
1.00,2.00,0.80,1.00,0.75,2160,1585,1954.50,2159,0,0.00,0,0.15,3.96,6.98,0.00
1.00,2.00,0.80,1.00,1.00,2160,1585,1954.50,2159,0,0.00,0,0.15,3.96,6.98,0.00
1.00,2.00,0.80,0.60,0.75,2160,887,1857.17,2140,0,0.00,0,0.23,3.97,5.37,0.00
1.00,2.00,0.80,0.60,1.00,2160,887,1857.17,2140,0,0.00,0,0.23,3.97,5.37,0.00
1.00,2.00,0.80,0.70,0.25,2160,1317,1929.57,2135,0,0.00,0,0.15,4.02,6.76,0.00
1.00,2.00,0.80,0.80,0.25,2160,1465,1961.43,2148,0,0.00,0,0.15,4.10,5.60,0.00
1.00,2.00,0.80,0.80,0.75,2160,1265,1975.73,2159,0,0.00,0,0.23,4.14,8.69,0.00
1.00,2.00,0.80,0.80,1.00,2160,1265,1975.73,2159,0,0.00,0,0.23,4.14,8.69,0.00
1.00,2.00,0.80,1.00,0.50,2160,1449,1930.33,2159,0,0.00,0,0.15,4.15,6.68,0.00
1.00,2.00,0.80,0.90,0.50,2160,703,1912.73,2157,0,0.00,0,0.23,4.19,6.83,0.00
1.00,2.00,0.80,0.70,0.75,2160,1168,1874.27,2155,0,0.00,0,0.15,4.25,5.67,0.00
1.00,2.00,0.80,0.70,1.00,2160,1168,1874.27,2155,0,0.00,0,0.15,4.25,5.67,0.00
