Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,0.25,4530,818,2944.07,4272,0,0.00,0,0.73,1.40,2.26,0.00
1.00,2.00,0.80,0.60,0.25,4530,1069,3174.23,4410,0,0.00,0,0.65,1.55,2.53,0.00
1.00,2.00,0.80,0.30,0.25,4530,208,1803.70,4205,0,0.00,0,0.77,1.56,2.45,0.00
1.00,2.00,0.80,0.30,0.00,4530,631,2493.00,4469,0,0.00,0,0.65,1.57,2.68,0.00
1.00,2.00,0.80,0.40,0.25,4530,109,2219.67,4235,0,0.00,0,0.96,1.59,2.64,0.00
1.00,2.00,0.80,0.40,0.50,4530,36,1791.20,4082,0,0.00,0,0.77,1.59,2.45,0.00
1.00,2.00,0.80,0.90,0.25,4530,1503,3264.27,4304,0,0.00,0,0.96,1.60,2.53,0.00
1.00,2.00,0.80,0.70,0.25,4530,624,2539.97,4182,0,0.00,0,0.96,1.62,2.53,0.00
1.00,2.00,0.80,0.30,0.50,4530,175,1824.97,4346,0,0.00,0,0.77,1.64,2.91,0.00
1.00,2.00,0.80,0.50,0.50,4530,249,1962.30,4268,0,0.00,0,0.77,1.66,2.45,0.00
1.00,2.00,0.80,0.60,0.50,4530,658,2087.50,3836,0,0.00,0,0.77,1.66,2.45,0.00
1.00,2.00,0.80,0.80,0.50,4530,557,2836.40,4303,0,0.00,0,0.77,1.69,2.45,0.00
1.00,2.00,0.80,0.80,0.25,4530,1582,2938.97,4404,0,0.00,0,1.07,1.71,2.45,0.00
1.00,2.00,0.80,1.00,0.25,4530,259,3248.43,4392,0,0.00,0,1.03,1.71,2.64,0.00
1.00,2.00,0.80,0.70,0.50,4530,322,2347.93,4241,0,0.00,0,1.03,1.71,2.64,0.00
1.00,2.00,0.80,0.20,0.25,4530,185,2018.90,4227,0,0.00,0,0.65,1.72,3.49,0.00
1.00,2.00,0.80,0.20,0.75,4530,362,2123.30,4474,0,0.00,0,0.11,1.80,3.33,0.00
1.00,2.00,0.80,0.20,1.00,4530,362,2123.30,4474,0,0.00,0,0.11,1.80,3.33,0.00
1.00,2.00,0.80,0.30,0.75,4530,277,2137.47,3971,0,0.00,0,0.69,1.84,3.14,0.00
1.00,2.00,0.80,0.30,1.00,4530,277,2137.47,3971,0,0.00,0,0.69,1.84,3.14,0.00
1.00,2.00,0.80,0.90,0.50,4530,192,2384.20,3855,0,0.00,0,1.03,1.88,2.45,0.00
1.00,2.00,0.80,0.40,0.00,4530,390,1836.80,4474,0,0.00,0,0.65,1.92,2.53,0.00
1.00,2.00,0.80,0.60,0.00,4530,271,2014.07,4210,0,0.00,0,0.96,1.93,2.68,0.00
1.00,2.00,0.80,0.40,0.75,4530,306,2092.63,4192,0,0.00,0,0.96,1.94,3.14,0.00
1.00,2.00,0.80,0.40,1.00,4530,306,2092.63,4192,0,0.00,0,0.96,1.94,3.14,0.00
1.00,2.00,0.80,0.50,0.75,4530,433,2589.60,4113,0,0.00,0,0.54,1.97,3.14,0.00
