Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,100,24,57.00,99,0,0.00,0,0.00,3.78,7.47,16.67
1.00,2.00,0.80,0.70,100,16,58.07,97,0,0.00,0,0.00,4.19,9.25,10.00
1.00,2.00,0.80,0.30,100,21,61.00,97,0,0.00,0,0.00,4.41,8.63,16.67
1.00,2.00,0.80,0.20,100,18,50.83,92,0,0.00,0,0.00,4.61,8.16,10.00
1.00,2.00,0.80,0.40,100,19,60.63,99,0,0.00,0,0.00,4.86,8.86,6.67
1.00,2.00,0.80,0.50,100,15,58.37,98,0,0.00,0,0.00,4.94,9.25,6.67
1.00,2.00,0.80,0.80,100,12,62.40,97,0,0.00,0,2.95,5.25,9.25,0.00
1.00,2.00,0.80,0.60,100,16,56.10,93,0,0.00,0,0.00,5.26,8.79,3.33
1.00,2.00,0.80,0.90,100,12,56.10,98,0,0.00,0,0.93,5.71,9.25,0.00
1.00,2.00,0.80,1.00,100,12,50.37,93,0,0.00,0,2.95,6.93,9.25,0.00
