Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,0.25,100,6,41.60,90,0,0.00,0,0.00,0.15,0.28,3.33
1.00,2.00,0.80,0.70,0.50,100,3,48.10,90,0,0.00,0,0.00,0.16,0.28,3.33
1.00,2.00,0.80,0.90,0.25,100,6,43.47,87,0,0.00,0,0.04,0.16,0.32,0.00
1.00,2.00,0.80,0.60,0.25,100,3,38.70,88,0,0.00,0,0.00,0.16,0.28,6.67
1.00,2.00,0.80,0.70,0.25,100,5,53.60,83,0,0.00,0,0.00,0.16,0.30,3.33
1.00,2.00,0.80,0.50,0.25,100,11,36.97,85,0,0.00,0,0.00,0.17,0.25,3.33
1.00,2.00,0.80,0.80,0.50,100,14,46.70,92,0,0.00,0,0.07,0.17,0.28,0.00
1.00,2.00,0.80,0.90,0.50,100,12,49.90,92,0,0.00,0,0.00,0.17,0.37,3.33
1.00,2.00,0.80,0.60,0.50,100,2,42.47,92,0,0.00,0,0.04,0.18,0.25,0.00
1.00,2.00,0.80,0.30,0.25,100,9,35.17,75,0,0.00,0,0.04,0.18,0.30,0.00
1.00,2.00,0.80,1.00,0.25,100,5,51.87,79,0,0.00,0,0.07,0.18,0.41,0.00
1.00,2.00,0.80,1.00,0.50,100,22,53.90,95,0,0.00,0,0.09,0.18,0.30,0.00
1.00,2.00,0.80,0.40,0.50,100,7,38.53,98,0,0.00,0,0.04,0.18,0.34,0.00
1.00,2.00,0.80,0.50,0.50,100,2,34.60,67,0,0.00,0,0.09,0.19,0.36,0.00
1.00,2.00,0.80,0.70,0.75,100,10,39.70,97,0,0.00,0,0.12,0.19,0.27,0.00
1.00,2.00,0.80,0.70,1.00,100,10,39.70,97,0,0.00,0,0.12,0.19,0.27,0.00
1.00,2.00,0.80,0.40,0.25,100,0,35.30,92,0,0.00,0,0.00,0.19,0.28,3.33
