Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,3030,236,623.57,2009,0,0.00,0,0.06,0.22,0.54,0.00
1.00,2.00,0.80,0.90,3030,41,450.37,1257,0,0.00,0,0.06,0.27,0.80,0.00
1.00,2.00,0.80,0.80,3030,34,467.70,1373,0,0.00,0,0.10,0.42,0.72,0.00
1.00,2.00,0.80,0.70,3030,23,425.23,1204,0,0.00,0,0.20,0.66,0.97,0.00
1.00,2.00,0.80,0.60,3030,39,593.77,2006,0,0.00,0,0.14,0.91,1.46,0.00
1.00,2.00,0.80,0.10,3030,287,1905.80,3029,0,0.00,0,0.45,0.91,1.61,0.00
1.00,2.00,0.80,0.20,3030,389,2011.37,3018,0,0.00,0,0.43,0.92,1.53,0.00
1.00,2.00,0.80,0.50,3030,52,706.33,3007,0,0.00,0,0.32,0.98,1.39,0.00
1.00,2.00,0.80,0.40,3030,91,1553.63,2988,0,0.00,0,0.51,1.06,1.66,0.00
1.00,2.00,0.80,0.30,3030,176,1717.37,3002,0,0.00,0,0.46,1.12,1.84,0.00
