Root,Thinness score (branch surplus),Max outgoing degree,Branching vertices,Total cost
0,123,72,4,4564
1,123,72,4,4564
2,123,72,4,4565
3,123,72,4,4565
4,123,72,4,4565
5,123,72,4,4565
6,123,72,4,4564
7,123,72,4,4565
8,123,72,4,4565
9,123,72,4,4565
10,123,72,4,4564
11,123,72,4,4565
12,123,72,4,4565
13,123,72,4,4565
14,123,72,4,4565
15,123,72,4,4564
16,123,72,4,4565
17,123,72,4,4564
18,124,73,4,4565
19,123,72,4,4565
20,123,72,4,4565
21,123,72,4,4565
22,123,72,4,4565
23,123,72,4,4565
24,123,72,4,4565
25,123,72,4,4565
26,123,72,4,4565
27,123,72,4,4565
28,123,72,4,4565
29,123,72,4,4564
30,123,72,4,4565
31,123,72,4,4564
32,123,72,4,4564
33,123,72,4,4565
34,124,72,4,4565
35,123,72,4,4565
36,123,72,4,4565
37,123,72,4,4565
38,123,72,4,4565
39,123,72,4,4565
40,123,72,4,4565
41,123,72,4,4564
42,123,72,4,4564
43,123,72,4,4565
44,123,72,4,4565
45,123,72,4,4565
46,123,72,4,4565
47,123,72,4,4564
48,123,72,4,4565
49,123,72,4,4565
50,123,71,4,4564
51,123,72,4,4565
52,123,72,4,4565
53,123,72,4,4565
54,123,72,4,4565
55,123,72,4,4565
56,123,72,4,4565
57,123,72,4,4565
58,123,72,4,4564
59,123,72,4,4565
60,123,72,4,4565
61,123,72,4,4565
62,125,72,5,4566
63,123,72,4,4565
64,124,72,4,4566
65,124,72,4,4566
66,123,72,4,4565
67,123,72,4,4565
68,123,72,4,4565
69,123,72,4,4565
70,123,72,4,4565
71,123,72,4,4565
72,123,72,4,4565
73,123,72,4,4565
74,123,72,4,4565
75,123,72,4,4565
76,124,72,5,4565
77,123,72,4,4565
78,123,72,4,4565
79,123,72,4,4565
80,123,72,4,4565
81,123,72,4,4564
82,123,72,4,4565
83,123,72,4,4564
84,123,72,4,4564
85,124,72,5,4565
86,124,73,4,4564
87,123,72,4,4565
88,123,72,4,4565
89,123,72,4,4565
90,123,72,4,4565
91,123,72,4,4565
92,123,72,4,4565
93,123,72,4,4565
94,123,72,4,4565
95,123,72,4,4565
96,123,72,4,4565
97,123,72,4,4565
98,123,72,4,4565
99,123,72,4,4565
100,123,72,4,4565
101,123,72,4,4565
102,123,72,4,4565
103,123,72,4,4565
104,123,72,4,4565
105,123,72,4,4565
106,123,72,4,4565
107,123,72,4,4565
108,123,72,4,4565
109,123,72,4,4565
110,123,72,4,4565
111,123,72,4,4566
112,123,72,4,4565
113,123,72,4,4565
114,123,72,4,4565
115,123,72,4,4565
116,123,72,4,4565
117,123,72,4,4565
118,124,72,4,4565
119,123,72,4,4564
120,123,72,4,4565
121,123,72,4,4564
122,123,72,4,4565
123,123,72,4,4565
124,124,72,4,4565
125,123,72,4,4565
126,123,72,4,4565
127,123,72,4,4565
128,123,71,4,4564
129,123,72,4,4565
130,123,72,4,4565
131,123,72,4,4565
132,123,72,4,4565
133,123,72,4,4565
