Root,Thinness score (branch surplus),Max outgoing degree,Branching vertices,Total cost
0,20,3,17,1253
1,20,3,17,1253
2,19,3,17,1253
3,20,3,18,1250
4,22,3,20,1249
5,21,3,19,1281
6,21,3,19,1241
7,22,3,20,1259
8,22,3,20,1249
9,20,3,18,1258
10,21,3,19,1269
11,22,3,20,1251
12,22,3,20,1254
13,22,3,20,1264
14,21,3,19,1249
15,21,3,19,1259
16,22,3,20,1259
17,22,3,20,1259
18,22,3,20,1258
19,22,3,20,1258
20,22,3,20,1259
21,22,3,20,1259
22,21,3,19,1254
23,22,3,19,1254
24,21,3,19,1251
25,21,3,19,1272
26,22,3,20,1254
27,21,3,19,1252
28,21,3,19,1252
29,20,3,18,1251
30,21,3,19,1252
31,22,3,20,1251
32,21,3,19,1257
33,23,3,21,1251
34,22,3,20,1247
35,22,3,21,1247
36,22,3,20,1259
37,22,3,21,1247
38,22,3,21,1247
39,22,3,21,1247
40,22,3,20,1247
41,22,3,21,1247
42,21,3,20,1247
43,23,3,22,1248
44,21,3,20,1247
45,22,3,20,1247
46,22,3,21,1252
47,23,3,22,1252
48,22,3,21,1254
49,21,3,19,1256
50,20,3,18,1256
51,21,3,20,1256
52,22,3,21,1256
53,22,3,21,1253
54,23,3,22,1241
55,22,3,21,1254
56,20,3,18,1268
57,19,3,17,1265
58,21,3,19,1252
59,20,3,18,1262
60,21,3,19,1259
61,20,3,18,1262
62,20,3,18,1270
63,18,3,16,1272
64,19,3,17,1268
65,19,3,18,1267
66,19,3,18,1266
67,21,3,19,1264
68,21,3,19,1266
69,20,3,19,1264
70,20,3,19,1254
71,21,3,19,1258
72,20,3,18,1253
73,21,3,19,1253
74,21,3,19,1262
75,22,3,20,1257
76,21,3,19,1266
77,20,3,18,1253
78,21,3,18,1253
79,21,3,19,1253
80,21,3,19,1253
81,20,3,18,1253
82,21,3,19,1253
83,21,3,19,1262
84,21,3,19,1265
85,20,3,18,1263
86,21,3,19,1263
87,21,3,19,1254
88,20,3,19,1230
89,20,3,19,1230
90,19,3,18,1230
