Root,Thinness score (branch surplus),Max outgoing degree,Branching vertices,Total cost
0,64,11,19,244317
1,63,10,19,241965
2,64,10,20,241237
3,63,10,20,241381
4,65,10,20,241251
5,64,10,20,241948
6,65,10,20,243205
7,64,10,20,241712
8,66,10,20,241242
9,65,10,20,243142
10,64,10,20,241498
11,67,10,20,243134
12,65,11,20,239120
13,65,10,20,240777
14,66,10,20,241065
15,64,10,20,240595
16,64,10,20,241544
17,63,10,20,240606
18,65,10,20,241365
19,64,10,20,241530
20,65,11,20,242010
21,66,10,20,241700
22,67,10,20,238253
23,66,10,20,241194
24,65,11,20,244075
25,66,10,20,241004
26,65,10,21,241208
27,64,10,20,241268
28,63,10,20,241114
29,64,10,20,241882
30,65,10,20,242023
31,64,10,20,240554
32,64,11,20,241751
33,64,10,20,241902
34,66,10,20,240071
35,68,10,20,243134
36,64,10,20,241143
37,63,10,20,241994
38,63,10,20,241944
39,64,10,20,240988
40,65,10,20,241550
41,64,10,20,241149
42,66,10,20,240868
43,66,10,20,239885
44,65,11,20,241991
45,64,10,20,241910
46,64,11,20,241820
47,64,11,20,241803
48,66,10,20,241330
49,65,10,20,240651
50,63,10,20,241838
51,63,10,19,241852
52,65,10,20,241083
53,65,10,20,240369
54,65,10,20,243667
55,65,10,20,240513
56,64,10,20,241858
57,63,10,20,241000
58,64,10,20,241297
59,66,10,20,241311
60,64,10,20,240345
61,65,10,20,241407
62,64,10,20,241961
63,66,10,20,241733
64,63,10,20,241876
65,66,10,20,240289
66,64,11,20,241302
67,64,10,20,241923
68,64,11,20,240404
69,63,10,20,241577
70,65,10,20,240774
71,64,10,19,241026
72,63,10,20,240995
73,66,10,20,240115
74,65,10,19,241252
75,66,10,20,241169
76,65,11,20,242023
77,64,10,19,242094
78,64,10,20,241744
79,64,11,20,241927
80,64,10,20,241965
81,65,11,20,244116
82,64,10,20,242053
83,66,10,20,239192
84,64,10,20,240650
85,64,10,20,241817
86,65,10,21,241865
87,64,10,20,241891
88,65,10,20,244067
89,65,10,20,240713
90,64,10,20,241263
91,66,10,20,240916
92,64,11,20,241904
93,65,10,21,241775
94,64,10,20,241971
95,66,10,20,241418
96,64,10,19,241053
97,67,10,20,241149
98,64,11,19,241381
99,63,10,19,241823
100,66,10,20,240619
