Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,2160,143,1181.33,2157,0,0.00,0,0.00,2.26,4.38,13.33
1.00,2.00,0.80,0.50,2160,198,1220.13,2025,0,0.00,0,0.00,2.29,4.38,20.00
1.00,2.00,0.80,0.90,2160,316,1105.50,2108,0,0.00,0,0.00,2.60,4.38,3.33
1.00,2.00,0.80,0.10,2160,112,1149.57,2155,0,0.00,0,0.00,2.67,4.46,10.00
1.00,2.00,0.80,0.30,2160,164,1198.17,2152,0,0.00,0,0.00,2.72,4.38,6.67
1.00,2.00,0.80,1.00,2160,116,1046.73,2151,0,0.00,0,0.00,2.73,4.38,13.33
1.00,2.00,0.80,0.40,2160,319,1222.57,2128,0,0.00,0,0.00,2.78,4.38,13.33
1.00,2.00,0.80,0.70,2160,193,1059.00,2126,0,0.00,0,0.00,2.84,4.38,13.33
1.00,2.00,0.80,0.60,2160,221,1264.63,2135,0,0.00,0,0.00,2.90,4.46,3.33
1.00,2.00,0.80,0.20,2160,308,1208.63,2116,0,0.00,0,0.00,3.23,4.38,6.67
