Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,3000,806,2715.30,2984,0,0.00,0,0.24,3.79,9.87,0.00
1.00,2.00,0.80,0.10,3000,1292,2464.10,2999,0,0.00,0,1.39,3.85,8.04,0.00
1.00,2.00,0.80,0.30,3000,1117,2576.17,2993,0,0.00,0,0.70,4.02,7.51,0.00
1.00,2.00,0.80,0.50,3000,1946,2771.80,2999,0,0.00,0,1.40,4.36,7.36,0.00
1.00,2.00,0.80,0.90,3000,1894,2821.10,2989,0,0.00,0,2.20,4.64,7.67,0.00
1.00,2.00,0.80,0.60,3000,1967,2749.93,2993,0,0.00,0,0.66,4.86,10.70,0.00
1.00,2.00,0.80,1.00,3000,2029,2775.07,2998,0,0.00,0,1.49,4.93,12.28,0.00
1.00,2.00,0.80,0.70,3000,1434,2735.30,2999,0,0.00,0,1.80,4.94,8.87,0.00
1.00,2.00,0.80,0.40,3000,934,2669.87,2993,0,0.00,0,1.55,5.19,8.45,0.00
1.00,2.00,0.80,0.80,3000,1214,2771.40,2995,0,0.00,0,2.14,5.34,9.66,0.00
