Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,3,3000,2404,2894.70,2999,0,0.00,0,1.60,4.32,7.98,0.00
1.00,2.00,0.80,0.10,3,3000,1899,2719.57,2990,0,0.00,0,1.90,4.82,7.94,0.00
1.00,2.00,0.80,0.10,1,3000,1815,2735.57,2995,0,0.00,0,1.69,4.94,10.28,0.00
1.00,2.00,0.80,0.10,2,3000,1695,2663.30,2992,0,0.00,0,1.98,5.90,10.84,0.00
1.00,2.00,0.80,0.30,3,3000,2396,2880.03,2993,0,0.00,0,2.19,5.92,9.54,0.00
1.00,2.00,0.80,0.20,1,3000,2281,2888.60,2998,0,0.00,0,1.97,6.16,10.87,0.00
1.00,2.00,0.80,0.20,2,3000,2621,2902.70,2999,0,0.00,0,2.35,6.45,10.87,0.00
1.00,2.00,0.80,0.40,3,3000,2710,2931.57,2992,0,0.00,0,3.91,7.15,11.48,0.00
1.00,2.00,0.80,0.30,1,3000,2719,2938.17,2999,0,0.00,0,2.84,7.25,12.73,0.00
1.00,2.00,0.80,0.30,2,3000,2623,2913.57,2999,0,0.00,0,3.57,7.42,15.15,0.00
1.00,2.00,0.80,0.50,3,3000,2676,2942.80,2999,0,0.00,0,2.63,7.47,12.80,0.00
1.00,2.00,0.80,0.60,3,3000,2823,2955.83,2995,0,0.00,0,3.98,7.64,12.23,0.00
1.00,2.00,0.80,0.40,1,3000,2621,2930.40,2994,0,0.00,0,4.18,8.67,17.78,0.00
1.00,2.00,0.80,0.40,2,3000,2474,2937.87,2999,0,0.00,0,4.21,8.92,13.99,0.00
1.00,2.00,0.80,0.70,3,3000,2720,2953.30,2999,0,0.00,0,3.55,9.00,15.32,0.00
1.00,2.00,0.80,0.50,2,3000,2677,2949.60,2998,0,0.00,0,2.87,9.35,16.62,0.00
1.00,2.00,0.80,0.50,1,3000,2742,2963.50,2998,0,0.00,0,5.18,9.73,18.30,0.00
1.00,2.00,0.80,0.70,2,3000,2794,2960.60,2999,0,0.00,0,5.89,9.95,14.45,0.00
1.00,2.00,0.80,0.80,1,3000,2852,2964.60,2998,0,0.00,0,2.29,10.14,16.38,0.00
1.00,2.00,0.80,0.60,1,3000,2659,2949.67,2999,0,0.00,0,4.99,10.23,15.37,0.00
1.00,2.00,0.80,0.60,2,3000,2752,2961.67,2998,0,0.00,0,5.19,10.34,18.29,0.00
1.00,2.00,0.80,0.80,3,3000,2863,2957.90,2998,0,0.00,0,3.49,10.36,16.72,0.00
1.00,2.00,0.80,0.80,2,3000,2661,2947.20,2998,0,0.00,0,4.08,10.89,19.38,0.00
1.00,2.00,0.80,0.90,3,3000,2800,2950.93,2999,0,0.00,0,4.71,10.94,15.34,0.00
1.00,2.00,0.80,0.70,1,3000,2427,2933.17,2999,0,0.00,0,5.37,10.98,20.30,0.00
1.00,2.00,0.80,1.00,3,3000,2830,2956.03,2998,0,0.00,0,5.40,11.14,16.33,0.00
1.00,2.00,0.80,0.90,1,3000,2851,2971.53,2999,0,0.00,0,5.33,11.19,20.39,0.00
1.00,2.00,0.80,1.00,1,3000,2906,2973.40,2998,0,0.00,0,6.37,11.66,16.97,0.00
1.00,2.00,0.80,0.90,2,3000,2617,2967.33,2999,0,0.00,0,6.19,12.32,20.90,0.00
1.00,2.00,0.80,1.00,2,3000,2685,2974.60,2999,0,0.00,0,4.73,12.34,18.25,0.00
