Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,2,4020,958,2419.77,3899,0,0.00,0,0.93,1.18,1.48,0.00
1.00,2.00,0.80,0.10,1,4020,462,2124.07,3898,0,0.00,0,0.96,1.24,1.57,0.00
1.00,2.00,0.80,0.10,3,4020,913,2390.97,3803,0,0.00,0,1.09,1.29,1.51,0.00
1.00,2.00,0.80,0.20,2,4020,1113,3069.73,4015,0,0.00,0,1.16,1.37,1.80,0.00
1.00,2.00,0.80,0.20,1,4020,1956,3038.83,3887,0,0.00,0,1.21,1.51,1.84,0.00
1.00,2.00,0.80,0.30,1,4020,2411,3487.37,3997,0,0.00,0,1.18,1.57,2.08,0.00
1.00,2.00,0.80,0.20,3,4020,2345,3289.93,3874,0,0.00,0,1.25,1.57,1.89,0.00
1.00,2.00,0.80,0.30,2,4020,2119,3422.93,3956,0,0.00,0,1.07,1.60,2.16,0.00
1.00,2.00,0.80,0.30,3,4020,2986,3627.53,3864,0,0.00,0,1.34,1.72,2.12,0.00
1.00,2.00,0.80,0.40,2,4020,2985,3684.43,3972,0,0.00,0,1.27,1.79,2.37,0.00
1.00,2.00,0.80,0.40,1,4020,2287,3608.53,4010,0,0.00,0,1.41,1.88,2.48,0.00
1.00,2.00,0.80,0.50,2,4020,3439,3738.53,3953,0,0.00,0,1.48,1.98,2.49,0.00
1.00,2.00,0.80,0.40,3,4020,2944,3721.23,4009,0,0.00,0,1.39,2.04,2.51,0.00
1.00,2.00,0.80,0.50,1,4020,3231,3701.23,3944,0,0.00,0,1.62,2.16,2.78,0.00
1.00,2.00,0.80,0.60,2,4020,3520,3803.17,4019,0,0.00,0,1.73,2.21,2.78,0.00
1.00,2.00,0.80,0.60,1,4020,3438,3737.53,3971,0,0.00,0,1.59,2.21,2.85,0.00
1.00,2.00,0.80,0.50,3,4020,3438,3814.13,4018,0,0.00,0,1.62,2.26,3.06,0.00
1.00,2.00,0.80,0.70,2,4020,3669,3847.93,4019,0,0.00,0,1.67,2.29,3.33,0.00
1.00,2.00,0.80,0.60,3,4020,3413,3843.77,4013,0,0.00,0,1.82,2.29,2.94,0.00
1.00,2.00,0.80,0.70,1,4020,3643,3826.63,4013,0,0.00,0,1.51,2.33,3.01,0.00
1.00,2.00,0.80,0.80,1,4020,3626,3839.37,4003,0,0.00,0,1.80,2.34,2.98,0.00
1.00,2.00,0.80,0.80,2,4020,3448,3833.70,4010,0,0.00,0,1.87,2.39,2.89,0.00
1.00,2.00,0.80,1.00,1,4020,3686,3887.30,4014,0,0.00,0,1.82,2.47,3.01,0.00
1.00,2.00,0.80,0.90,2,4020,3639,3887.37,4015,0,0.00,0,2.01,2.49,3.01,0.00
1.00,2.00,0.80,0.90,1,4020,3553,3818.67,4016,0,0.00,0,1.91,2.51,3.17,0.00
1.00,2.00,0.80,0.70,3,4020,3511,3838.43,4016,0,0.00,0,1.94,2.55,3.12,0.00
1.00,2.00,0.80,0.80,3,4020,3682,3867.83,4015,0,0.00,0,2.14,2.56,2.99,0.00
1.00,2.00,0.80,1.00,2,4020,3643,3877.80,4019,0,0.00,0,1.80,2.56,3.37,0.00
1.00,2.00,0.80,0.90,3,4020,3785,3893.30,3994,0,0.00,0,2.00,2.60,3.06,0.00
1.00,2.00,0.80,1.00,3,4020,3630,3913.87,4010,0,0.00,0,2.08,2.65,3.37,0.00
