Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,103,4020,356,2308.37,3869,0,0.00,0,0.87,1.23,1.48,0.00
1.00,2.00,0.80,0.10,101,4020,1039,2392.50,3914,0,0.00,0,0.96,1.23,1.44,0.00
1.00,2.00,0.80,0.10,102,4020,716,2257.87,3848,0,0.00,0,0.98,1.24,1.44,0.00
1.00,2.00,0.80,0.20,101,4020,1470,3108.00,3957,0,0.00,0,1.07,1.26,1.53,0.00
1.00,2.00,0.80,0.20,103,4020,795,3028.07,3993,0,0.00,0,0.86,1.28,1.57,0.00
1.00,2.00,0.80,0.30,101,4020,2816,3448.97,3913,0,0.00,0,1.10,1.34,1.59,0.00
1.00,2.00,0.80,0.20,102,4020,1915,3063.27,3902,0,0.00,0,0.84,1.39,1.73,0.00
1.00,2.00,0.80,0.40,101,4020,3028,3702.00,4011,0,0.00,0,1.10,1.51,1.91,0.00
1.00,2.00,0.80,0.30,103,4020,1541,3199.10,3916,0,0.00,0,1.21,1.54,1.82,0.00
1.00,2.00,0.80,0.40,103,4020,2717,3496.40,3910,0,0.00,0,1.09,1.64,2.05,0.00
1.00,2.00,0.80,0.50,101,4020,3262,3734.23,3986,0,0.00,0,1.18,1.67,2.05,0.00
1.00,2.00,0.80,0.30,102,4020,2647,3545.73,3887,0,0.00,0,1.21,1.69,2.08,0.00
1.00,2.00,0.80,0.50,103,4020,3195,3695.67,3998,0,0.00,0,1.32,1.77,2.41,0.00
1.00,2.00,0.80,0.40,102,4020,3259,3704.53,4002,0,0.00,0,1.30,1.79,2.74,0.00
1.00,2.00,0.80,0.60,103,4020,3321,3828.13,4015,0,0.00,0,1.51,1.89,2.41,0.00
1.00,2.00,0.80,0.60,101,4020,3592,3802.27,3992,0,0.00,0,1.19,1.93,2.60,0.00
1.00,2.00,0.80,0.70,101,4020,3398,3813.47,3997,0,0.00,0,1.59,2.08,2.73,0.00
1.00,2.00,0.80,0.70,103,4020,3280,3770.93,3973,0,0.00,0,1.59,2.09,2.53,0.00
1.00,2.00,0.80,0.50,102,4020,3269,3738.90,3963,0,0.00,0,1.53,2.11,2.66,0.00
1.00,2.00,0.80,0.80,101,4020,3573,3827.03,3994,0,0.00,0,1.39,2.12,2.53,0.00
1.00,2.00,0.80,0.80,103,4020,3671,3839.50,3963,0,0.00,0,1.73,2.19,2.51,0.00
1.00,2.00,0.80,1.00,103,4020,3656,3853.37,4003,0,0.00,0,1.73,2.21,2.99,0.00
1.00,2.00,0.80,0.90,103,4020,3575,3876.07,4019,0,0.00,0,1.89,2.25,2.69,0.00
1.00,2.00,0.80,0.90,101,4020,3554,3854.73,3991,0,0.00,0,1.73,2.26,2.92,0.00
1.00,2.00,0.80,0.60,102,4020,3431,3787.17,3966,0,0.00,0,1.64,2.27,2.92,0.00
1.00,2.00,0.80,1.00,101,4020,3617,3863.67,4014,0,0.00,0,1.87,2.35,2.99,0.00
1.00,2.00,0.80,0.70,102,4020,3519,3812.27,4003,0,0.00,0,1.76,2.39,3.12,0.00
1.00,2.00,0.80,0.80,102,4020,3753,3894.83,4019,0,0.00,0,1.94,2.45,3.15,0.00
1.00,2.00,0.80,0.90,102,4020,3536,3845.77,4015,0,0.00,0,2.00,2.49,3.15,0.00
1.00,2.00,0.80,1.00,102,4020,3670,3895.97,4011,0,0.00,0,1.82,2.57,3.30,0.00
