Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,1,1950,353,1140.23,1806,0,0.00,0,0.00,0.88,1.96,10.00
1.00,2.00,0.80,0.20,1,1950,452,1326.13,1944,0,0.00,0,0.00,0.90,1.96,3.33
1.00,2.00,0.80,0.10,2,1950,49,1098.47,1892,0,0.00,0,0.00,1.05,4.84,23.33
1.00,2.00,0.80,0.20,2,1950,312,1428.33,1896,0,0.00,0,0.00,1.07,5.11,6.67
1.00,2.00,0.80,0.20,3,1950,288,1398.53,1936,0,0.00,0,0.00,1.11,4.19,10.00
1.00,2.00,0.80,0.10,3,1950,198,1051.90,1855,0,0.00,0,0.00,1.25,4.84,10.00
1.00,2.00,0.80,0.30,1,1950,980,1588.93,1926,0,0.00,0,0.00,1.36,6.80,3.33
1.00,2.00,0.80,0.40,1,1950,1006,1628.07,1945,0,0.00,0,0.60,1.52,5.76,0.00
1.00,2.00,0.80,0.40,2,1950,1019,1615.00,1941,0,0.00,0,0.00,1.54,4.95,10.00
1.00,2.00,0.80,0.30,2,1950,779,1531.03,1933,0,0.00,0,0.60,1.58,4.89,0.00
1.00,2.00,0.80,0.30,3,1950,709,1484.00,1933,0,0.00,0,0.00,1.65,5.82,10.00
1.00,2.00,0.80,0.50,2,1950,1276,1714.97,1946,0,0.00,0,0.60,1.67,5.44,0.00
1.00,2.00,0.80,0.70,1,1950,1271,1798.63,1947,0,0.00,0,0.60,1.82,4.57,0.00
1.00,2.00,0.80,0.50,1,1950,1484,1786.47,1944,0,0.00,0,0.49,1.87,6.42,0.00
1.00,2.00,0.80,0.60,1,1950,1325,1717.27,1913,0,0.00,0,0.60,1.91,11.80,0.00
1.00,2.00,0.80,0.80,2,1950,1489,1820.73,1949,0,0.00,0,0.00,1.94,6.04,6.67
1.00,2.00,0.80,1.00,1,1950,1706,1867.73,1948,0,0.00,0,0.00,2.00,6.74,3.33
1.00,2.00,0.80,0.40,3,1950,960,1650.27,1947,0,0.00,0,0.00,2.19,6.09,6.67
1.00,2.00,0.80,0.90,2,1950,1677,1859.30,1938,0,0.00,0,0.76,2.61,6.42,0.00
1.00,2.00,0.80,0.50,3,1950,1225,1724.60,1922,0,0.00,0,0.00,2.66,8.16,3.33
1.00,2.00,0.80,0.80,1,1950,1359,1813.37,1944,0,0.00,0,0.60,2.69,7.67,0.00
1.00,2.00,0.80,1.00,2,1950,1629,1864.03,1948,0,0.00,0,0.60,2.70,8.37,0.00
1.00,2.00,0.80,0.70,2,1950,1537,1817.57,1948,0,0.00,0,0.49,2.71,8.65,0.00
1.00,2.00,0.80,0.60,2,1950,1340,1744.83,1926,0,0.00,0,0.00,2.73,9.30,3.33
1.00,2.00,0.80,0.90,1,1950,1633,1831.57,1948,0,0.00,0,0.82,2.97,10.55,0.00
1.00,2.00,0.80,0.70,3,1950,1440,1809.83,1948,0,0.00,0,0.92,3.22,7.99,0.00
1.00,2.00,0.80,0.60,3,1950,1225,1798.57,1946,0,0.00,0,0.76,3.30,13.21,0.00
1.00,2.00,0.80,0.90,3,1950,1610,1888.50,1948,0,0.00,0,0.00,3.41,8.54,3.33
1.00,2.00,0.80,0.80,3,1950,1603,1848.47,1949,0,0.00,0,0.49,3.42,8.97,0.00
1.00,2.00,0.80,1.00,3,1950,1582,1860.90,1949,0,0.00,0,0.60,4.28,9.24,0.00
