Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,103,1950,304,1143.73,1879,0,0.00,0,0.00,1.00,2.99,13.33
1.00,2.00,0.80,0.20,102,1950,179,1222.70,1926,0,0.00,0,0.00,1.01,2.99,6.67
1.00,2.00,0.80,0.30,102,1950,538,1497.87,1945,0,0.00,0,0.00,1.03,4.24,10.00
1.00,2.00,0.80,0.10,101,1950,83,959.17,1939,0,0.00,0,0.00,1.22,6.63,10.00
1.00,2.00,0.80,0.10,102,1950,78,963.40,1926,0,0.00,0,0.00,1.26,5.11,3.33
1.00,2.00,0.80,0.20,103,1950,310,1239.80,1894,0,0.00,0,0.00,1.30,3.70,3.33
1.00,2.00,0.80,0.20,101,1950,240,1202.10,1948,0,0.00,0,0.00,1.32,4.02,3.33
1.00,2.00,0.80,0.40,103,1950,1285,1773.83,1947,0,0.00,0,0.00,1.36,4.35,6.67
1.00,2.00,0.80,0.50,102,1950,874,1648.63,1928,0,0.00,0,0.00,1.47,5.17,13.33
1.00,2.00,0.80,0.30,103,1950,871,1575.53,1930,0,0.00,0,0.82,1.52,9.90,0.00
1.00,2.00,0.80,0.40,102,1950,700,1708.80,1946,0,0.00,0,0.16,1.59,8.37,0.00
1.00,2.00,0.80,0.40,101,1950,674,1695.70,1938,0,0.00,0,0.00,1.68,4.40,3.33
1.00,2.00,0.80,0.60,102,1950,1466,1760.97,1944,0,0.00,0,0.00,1.79,6.58,6.67
1.00,2.00,0.80,0.80,102,1950,1489,1834.80,1946,0,0.00,0,0.00,1.81,5.49,3.33
1.00,2.00,0.80,0.30,101,1950,558,1496.63,1933,0,0.00,0,0.00,2.13,8.97,3.33
1.00,2.00,0.80,0.50,101,1950,1186,1692.03,1933,0,0.00,0,0.60,2.17,8.43,0.00
1.00,2.00,0.80,0.50,103,1950,1350,1722.10,1949,0,0.00,0,0.60,2.18,8.10,0.00
1.00,2.00,0.80,0.70,102,1950,1554,1814.70,1946,0,0.00,0,0.16,2.25,6.91,0.00
1.00,2.00,0.80,0.60,101,1950,1284,1741.67,1949,0,0.00,0,0.60,2.30,6.96,0.00
1.00,2.00,0.80,0.60,103,1950,1050,1765.53,1948,0,0.00,0,0.00,2.45,8.81,6.67
1.00,2.00,0.80,1.00,102,1950,1634,1836.53,1947,0,0.00,0,0.60,2.74,9.52,0.00
1.00,2.00,0.80,0.90,102,1950,1393,1815.07,1948,0,0.00,0,0.00,2.84,8.16,3.33
1.00,2.00,0.80,0.70,101,1950,1102,1825.97,1946,0,0.00,0,0.49,2.87,6.42,0.00
1.00,2.00,0.80,1.00,103,1950,1724,1870.27,1945,0,0.00,0,0.38,2.96,9.30,0.00
1.00,2.00,0.80,0.80,101,1950,1316,1811.20,1942,0,0.00,0,0.60,3.01,7.50,0.00
1.00,2.00,0.80,1.00,101,1950,1542,1864.77,1948,0,0.00,0,0.00,3.15,6.53,3.33
1.00,2.00,0.80,0.70,103,1950,1279,1773.97,1942,0,0.00,0,0.00,3.44,10.17,3.33
1.00,2.00,0.80,0.90,103,1950,1335,1811.97,1949,0,0.00,0,0.82,3.54,9.62,0.00
1.00,2.00,0.80,0.80,103,1950,1596,1855.53,1949,0,0.00,0,0.49,3.75,10.66,0.00
1.00,2.00,0.80,0.90,101,1950,1611,1868.20,1949,0,0.00,0,0.60,4.38,12.40,0.00
