Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,2,100,35,76.57,98,0,0.00,0,1.98,4.52,8.13,0.00
1.00,2.00,0.80,0.10,3,100,29,78.70,99,0,0.00,0,0.55,4.65,8.87,0.00
1.00,2.00,0.80,0.10,1,100,50,77.33,99,0,0.00,0,1.23,4.76,9.55,0.00
1.00,2.00,0.80,0.20,2,100,45,82.10,98,0,0.00,0,0.41,5.48,9.63,0.00
1.00,2.00,0.80,0.30,3,100,52,79.67,99,0,0.00,0,1.83,5.59,9.23,0.00
1.00,2.00,0.80,0.30,1,100,42,84.83,98,0,0.00,0,2.38,5.59,9.52,0.00
1.00,2.00,0.80,0.40,2,100,48,86.70,99,0,0.00,0,2.11,5.88,10.53,0.00
1.00,2.00,0.80,0.20,3,100,43,81.27,99,0,0.00,0,2.21,6.00,9.53,0.00
1.00,2.00,0.80,0.20,1,100,46,85.17,99,0,0.00,0,2.57,6.00,9.40,0.00
1.00,2.00,0.80,0.40,1,100,60,88.47,99,0,0.00,0,2.58,6.49,10.00,0.00
1.00,2.00,0.80,0.30,2,100,66,85.03,99,0,0.00,0,2.37,6.52,11.57,0.00
1.00,2.00,0.80,0.40,3,100,48,80.03,99,0,0.00,0,3.00,6.57,12.16,0.00
1.00,2.00,0.80,0.50,2,100,74,90.70,99,0,0.00,0,2.04,6.57,10.32,0.00
1.00,2.00,0.80,0.60,2,100,42,87.27,99,0,0.00,0,2.00,6.98,11.18,0.00
1.00,2.00,0.80,0.60,1,100,78,92.77,99,0,0.00,0,2.65,7.30,11.84,0.00
1.00,2.00,0.80,0.50,1,100,59,87.60,99,0,0.00,0,3.09,7.41,12.71,0.00
1.00,2.00,0.80,0.70,2,100,63,86.63,99,0,0.00,0,3.38,7.46,11.65,0.00
1.00,2.00,0.80,0.80,2,100,72,92.77,99,0,0.00,0,3.45,7.60,15.44,0.00
1.00,2.00,0.80,0.50,3,100,49,87.30,99,0,0.00,0,3.29,7.67,11.43,0.00
1.00,2.00,0.80,0.60,3,100,64,89.90,99,0,0.00,0,4.74,7.84,12.24,0.00
1.00,2.00,0.80,0.90,2,100,52,89.20,99,0,0.00,0,4.03,7.90,14.28,0.00
1.00,2.00,0.80,0.70,3,100,55,88.17,99,0,0.00,0,3.20,7.94,12.10,0.00
1.00,2.00,0.80,0.70,1,100,68,91.23,99,0,0.00,0,1.32,8.12,13.81,0.00
1.00,2.00,0.80,0.80,1,100,71,92.27,99,0,0.00,0,5.87,8.18,11.52,0.00
1.00,2.00,0.80,1.00,2,100,56,90.73,99,0,0.00,0,3.72,8.31,12.72,0.00
1.00,2.00,0.80,0.90,1,100,71,93.67,99,0,0.00,0,2.80,8.60,13.87,0.00
1.00,2.00,0.80,1.00,3,100,82,93.87,99,0,0.00,0,5.01,8.76,13.99,0.00
1.00,2.00,0.80,0.80,3,100,70,91.37,99,0,0.00,0,4.62,9.11,14.35,0.00
1.00,2.00,0.80,0.90,3,100,55,90.00,99,0,0.00,0,4.96,9.45,15.95,0.00
1.00,2.00,0.80,1.00,1,100,76,93.10,99,0,0.00,0,3.73,9.48,15.05,0.00
