Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,1,3030,2360,2912.37,3028,0,0.00,0,0.69,1.25,2.01,0.00
1.00,2.00,0.80,0.10,2,3030,2339,2840.37,3029,0,0.00,0,0.78,1.28,2.47,0.00
1.00,2.00,0.80,0.10,3,3030,2464,2886.20,3029,0,0.00,0,0.63,1.34,2.35,0.00
1.00,2.00,0.80,0.20,1,3030,2578,2931.60,3027,0,0.00,0,0.92,1.47,2.33,0.00
1.00,2.00,0.80,0.20,3,3030,2396,2911.77,3027,0,0.00,0,0.88,1.52,2.60,0.00
1.00,2.00,0.80,0.20,2,3030,2140,2878.70,3027,0,0.00,0,0.89,1.62,2.99,0.00
1.00,2.00,0.80,0.30,1,3030,2601,2946.50,3028,0,0.00,0,0.96,1.84,2.96,0.00
1.00,2.00,0.80,0.30,2,3030,2725,2948.80,3029,0,0.00,0,0.99,1.85,2.92,0.00
1.00,2.00,0.80,0.40,1,3030,2579,2940.50,3027,0,0.00,0,1.18,1.89,2.74,0.00
1.00,2.00,0.80,0.30,3,3030,2801,2965.97,3029,0,0.00,0,1.02,2.00,3.40,0.00
1.00,2.00,0.80,0.40,2,3030,2769,2945.73,3029,0,0.00,0,1.08,2.07,4.32,0.00
1.00,2.00,0.80,0.50,1,3030,2709,2974.27,3028,0,0.00,0,1.27,2.16,3.29,0.00
1.00,2.00,0.80,0.50,3,3030,2700,2959.80,3029,0,0.00,0,0.84,2.22,3.35,0.00
1.00,2.00,0.80,0.40,3,3030,2697,2952.77,3029,0,0.00,0,1.28,2.24,4.65,0.00
1.00,2.00,0.80,0.60,2,3030,2822,2972.73,3028,0,0.00,0,1.19,2.26,3.50,0.00
1.00,2.00,0.80,0.50,2,3030,2796,2961.93,3025,0,0.00,0,0.89,2.27,3.76,0.00
1.00,2.00,0.80,0.70,1,3030,2665,2991.40,3028,0,0.00,0,1.37,2.44,3.85,0.00
1.00,2.00,0.80,0.60,1,3030,2904,2994.00,3029,0,0.00,0,1.45,2.48,3.87,0.00
1.00,2.00,0.80,0.70,3,3030,2912,2999.90,3029,0,0.00,0,1.30,2.53,4.24,0.00
1.00,2.00,0.80,0.80,3,3030,2851,2993.30,3028,0,0.00,0,1.44,2.62,5.49,0.00
1.00,2.00,0.80,0.70,2,3030,2648,2957.67,3029,0,0.00,0,1.59,2.64,4.22,0.00
1.00,2.00,0.80,0.80,1,3030,2812,2975.77,3029,0,0.00,0,1.19,2.64,4.04,0.00
1.00,2.00,0.80,0.60,3,3030,2364,2948.30,3028,0,0.00,0,1.37,2.66,4.26,0.00
1.00,2.00,0.80,0.80,2,3030,2842,2986.23,3029,0,0.00,0,1.52,2.71,3.80,0.00
1.00,2.00,0.80,0.90,2,3030,2837,2974.87,3029,0,0.00,0,1.23,2.77,4.24,0.00
1.00,2.00,0.80,1.00,3,3030,2886,2993.80,3027,0,0.00,0,1.39,2.89,4.39,0.00
1.00,2.00,0.80,0.90,3,3030,2748,2975.60,3029,0,0.00,0,1.75,2.92,4.54,0.00
1.00,2.00,0.80,1.00,2,3030,2914,3000.17,3028,0,0.00,0,1.54,3.01,4.78,0.00
1.00,2.00,0.80,1.00,1,3030,2787,2979.07,3029,0,0.00,0,1.92,3.09,5.75,0.00
1.00,2.00,0.80,0.90,1,3030,2894,2999.47,3028,0,0.00,0,1.70,3.12,4.66,0.00
