Alpha,Beta,Rho,Heuristic weight,Random seed,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,101,3030,2542,2820.53,3005,0,0.00,0,0.47,1.13,1.64,0.00
1.00,2.00,0.80,0.10,103,3030,1511,2797.90,3028,0,0.00,0,0.64,1.24,2.03,0.00
1.00,2.00,0.80,0.10,102,3030,2433,2866.70,3025,0,0.00,0,0.62,1.31,2.76,0.00
1.00,2.00,0.80,0.20,101,3030,2673,2922.23,3029,0,0.00,0,0.81,1.53,2.83,0.00
1.00,2.00,0.80,0.20,103,3030,2653,2919.93,3029,0,0.00,0,0.66,1.61,2.85,0.00
1.00,2.00,0.80,0.20,102,3030,2554,2924.47,3028,0,0.00,0,0.65,1.66,3.01,0.00
1.00,2.00,0.80,0.30,101,3030,2553,2935.30,3028,0,0.00,0,0.98,1.74,2.67,0.00
1.00,2.00,0.80,0.30,102,3030,2831,2976.63,3028,0,0.00,0,0.93,1.74,3.29,0.00
1.00,2.00,0.80,0.30,103,3030,2733,2959.53,3029,0,0.00,0,1.16,1.86,2.82,0.00
1.00,2.00,0.80,0.40,103,3030,2813,2977.63,3027,0,0.00,0,0.67,1.99,3.29,0.00
1.00,2.00,0.80,0.40,101,3030,2605,2929.17,3026,0,0.00,0,1.13,2.01,4.65,0.00
1.00,2.00,0.80,0.40,102,3030,2604,2957.70,3028,0,0.00,0,1.13,2.05,3.20,0.00
1.00,2.00,0.80,0.60,101,3030,2772,2976.53,3028,0,0.00,0,0.84,2.13,3.70,0.00
1.00,2.00,0.80,0.50,103,3030,2863,2982.33,3024,0,0.00,0,1.30,2.17,3.54,0.00
1.00,2.00,0.80,0.70,103,3030,2903,2992.60,3029,0,0.00,0,1.26,2.21,3.01,0.00
1.00,2.00,0.80,0.80,101,3030,2763,2977.27,3029,0,0.00,0,1.31,2.27,4.10,0.00
1.00,2.00,0.80,0.50,101,3030,2636,2974.73,3029,0,0.00,0,1.20,2.28,3.55,0.00
1.00,2.00,0.80,0.70,101,3030,2801,2981.30,3026,0,0.00,0,1.58,2.30,3.19,0.00
1.00,2.00,0.80,0.50,102,3030,2740,2967.70,3028,0,0.00,0,1.04,2.35,4.05,0.00
1.00,2.00,0.80,0.70,102,3030,2563,2956.13,3027,0,0.00,0,1.07,2.39,3.50,0.00
1.00,2.00,0.80,0.60,102,3030,2645,2932.33,3028,0,0.00,0,1.50,2.42,3.43,0.00
1.00,2.00,0.80,0.80,103,3030,2665,2958.63,3024,0,0.00,0,1.20,2.42,4.62,0.00
1.00,2.00,0.80,0.90,101,3030,2756,2972.87,3028,0,0.00,0,1.18,2.44,5.20,0.00
1.00,2.00,0.80,0.90,102,3030,2657,2973.53,3029,0,0.00,0,1.48,2.60,4.11,0.00
1.00,2.00,0.80,0.60,103,3030,2739,2960.03,3028,0,0.00,0,1.16,2.62,4.52,0.00
1.00,2.00,0.80,1.00,101,3030,2904,2994.40,3028,0,0.00,0,1.56,2.65,3.80,0.00
1.00,2.00,0.80,0.80,102,3030,2321,2970.07,3029,0,0.00,0,1.35,2.69,3.88,0.00
1.00,2.00,0.80,1.00,102,3030,2880,2997.53,3029,0,0.00,0,1.53,2.70,4.21,0.00
1.00,2.00,0.80,0.90,103,3030,2731,2979.73,3029,0,0.00,0,1.58,2.83,4.59,0.00
1.00,2.00,0.80,1.00,103,3030,2777,2967.27,3028,0,0.00,0,1.43,2.84,5.19,0.00
