Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
msa-heuristic,1.00,2.00,0.80,0.10,3000,1443,2301.60,2987,0,0.00,0,0.55,2.28,4.77,0.00
msa-heuristic,1.00,2.00,0.80,0.30,3000,2009,2716.60,2989,0,0.00,0,0.91,2.33,3.96,0.00
msa-heuristic,1.00,2.00,0.80,0.20,3000,730,2350.30,2974,0,0.00,0,0.91,2.98,5.69,0.00
baseline,1.00,2.00,0.80,0.00,3000,1125,2145.70,2849,0,0.00,0,0.55,3.25,7.79,0.00
msa-heuristic,1.00,2.00,0.80,0.70,3000,2126,2718.40,2987,0,0.00,0,1.45,3.88,6.56,0.00
msa-heuristic,1.00,2.00,0.80,0.60,3000,1496,2387.60,2960,0,0.00,0,1.01,3.94,5.36,0.00
msa-heuristic,1.00,2.00,0.80,0.50,3000,2128,2751.40,2998,0,0.00,0,0.85,4.02,7.11,0.00
msa-heuristic,1.00,2.00,0.80,0.40,3000,2362,2742.30,2987,0,0.00,0,1.07,4.07,6.73,0.00
msa-heuristic,1.00,2.00,0.80,0.80,3000,1431,2456.50,2981,0,0.00,0,2.81,4.42,5.92,0.00
msa-heuristic,1.00,2.00,0.80,0.90,3000,623,2537.50,2985,0,0.00,0,2.05,4.91,11.20,0.00
msa-heuristic,1.00,2.00,0.80,1.00,3000,385,2540.30,2965,0,0.00,0,3.50,5.28,7.74,0.00
