Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
baseline,1.00,2.00,0.80,0.00,2730,134,667.60,1752,0,0.00,0,1.14,3.72,12.16,0.00
msa-heuristic,1.00,2.00,0.80,0.30,2730,529,1505.60,2346,0,0.00,0,2.09,4.05,4.69,0.00
msa-heuristic,1.00,2.00,0.80,0.20,2730,382,1391.30,2703,0,0.00,0,2.98,4.54,10.26,0.00
msa-heuristic,1.00,2.00,0.80,0.80,2730,727,2219.70,2687,0,0.00,0,3.74,4.63,5.32,0.00
msa-heuristic,1.00,2.00,0.80,0.90,2730,1339,2339.90,2682,0,0.00,0,3.99,4.93,6.14,0.00
msa-heuristic,1.00,2.00,0.80,0.10,2730,309,1479.00,2543,0,0.00,0,0.82,5.12,15.64,0.00
msa-heuristic,1.00,2.00,0.80,0.70,2730,1587,2092.90,2704,0,0.00,0,2.03,5.29,6.97,0.00
msa-heuristic,1.00,2.00,0.80,0.50,2730,704,2014.90,2499,0,0.00,0,3.55,5.36,12.67,0.00
msa-heuristic,1.00,2.00,0.80,0.40,2730,561,1860.40,2726,0,0.00,0,3.36,5.68,13.81,0.00
msa-heuristic,1.00,2.00,0.80,0.60,2730,430,1788.80,2516,0,0.00,0,3.99,6.42,13.81,0.00
msa-heuristic,1.00,2.00,0.80,1.00,2730,1473,2275.90,2715,0,0.00,0,4.69,6.73,16.21,0.00
