Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
msa-heuristic,1.00,2.00,0.80,0.20,100,43,70.90,99,0,0.00,0,1.06,2.90,5.33,0.00
msa-heuristic,1.00,2.00,0.80,0.40,100,39,71.00,96,0,0.00,0,1.06,3.04,4.39,0.00
msa-heuristic,1.00,2.00,0.80,1.00,100,53,76.80,99,0,0.00,0,1.40,3.06,4.03,0.00
msa-heuristic,1.00,2.00,0.80,0.80,100,26,60.80,98,0,0.00,0,2.15,3.23,4.33,0.00
msa-heuristic,1.00,2.00,0.80,0.50,100,35,68.10,95,0,0.00,0,1.34,3.28,5.80,0.00
msa-heuristic,1.00,2.00,0.80,0.60,100,58,85.60,99,0,0.00,0,2.15,3.39,5.01,0.00
msa-heuristic,1.00,2.00,0.80,0.90,100,36,64.60,96,0,0.00,0,1.16,3.51,4.45,0.00
msa-heuristic,1.00,2.00,0.80,0.30,100,30,69.90,98,0,0.00,0,0.58,3.83,6.97,0.00
msa-heuristic,1.00,2.00,0.80,0.70,100,33,61.40,92,0,0.00,0,2.57,3.90,5.16,0.00
baseline,1.00,2.00,0.80,0.00,100,54,77.60,98,0,0.00,0,1.80,3.96,7.33,0.00
msa-heuristic,1.00,2.00,0.80,0.10,100,36,67.60,98,0,0.00,0,3.00,4.40,5.56,0.00
