Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
msa-heuristic,1.00,2.00,0.80,0.60,3030,768,2499.97,3022,0,0.00,0,0.38,0.68,1.04,0.00
msa-heuristic,1.00,2.00,0.80,0.70,3030,716,2380.17,3027,0,0.00,0,0.43,0.69,1.04,0.00
msa-heuristic,1.00,2.00,0.80,1.00,3030,465,1928.83,3024,0,0.00,0,0.43,0.70,1.18,0.00
msa-heuristic,1.00,2.00,0.80,0.80,3030,1410,2509.30,3028,0,0.00,0,0.40,0.71,1.15,0.00
baseline,1.00,2.00,0.80,0.00,3030,2199,2746.80,3023,0,0.00,0,0.47,0.73,1.13,0.00
msa-heuristic,1.00,2.00,0.80,0.40,3030,1227,2529.77,2999,0,0.00,0,0.35,0.73,1.26,0.00
msa-heuristic,1.00,2.00,0.80,0.20,3030,1250,2448.20,3019,0,0.00,0,0.40,0.77,1.96,0.00
msa-heuristic,1.00,2.00,0.80,0.50,3030,269,2545.83,3023,0,0.00,0,0.44,0.78,1.81,0.00
msa-heuristic,1.00,2.00,0.80,0.30,3030,1218,2585.57,3024,0,0.00,0,0.41,0.81,2.43,0.00
msa-heuristic,1.00,2.00,0.80,0.10,3030,1053,2679.83,3007,0,0.00,0,0.36,0.81,1.24,0.00
msa-heuristic,1.00,2.00,0.80,0.90,3030,387,2280.33,3014,0,0.00,0,0.44,0.81,1.17,0.00
