Tour,Commonality with MSA heuristic,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,3,43,42,2,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,40]",70.83,33.33,40.63,45.83
"[0,3,43,42,2,48,8,11,51,50,10,9,49,46,54,55,47,44,52,53,59,45,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,40]",69.44,36.11,42.03,45.83
"[0,40,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,8,48,11,51,50,10,9,49,46,54,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,2,42,43,3]",69.44,33.33,40.66,45.83
"[0,3,43,42,2,48,8,11,51,50,10,9,49,46,54,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,27,31,41,39,40]",69.44,33.33,40.47,44.44
"[0,3,43,42,2,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,13,27,31,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,40]",69.44,33.33,40.37,44.44
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",69.44,31.94,39.16,43.06
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",69.44,31.94,39.12,43.06
"[0,40,41,39,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,2,42,43,3]",69.44,31.94,39.12,43.06
"[0,3,43,42,2,5,1,6,14,15,7,10,50,51,11,8,48,49,9,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,40]",69.44,31.94,37.00,40.28
"[0,3,43,42,2,1,5,48,8,11,51,50,10,9,49,46,54,55,47,44,52,53,45,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,38,26,27,31,41,39,40]",69.44,31.94,36.98,40.28
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,19,13,27,31,30,18,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",69.44,29.17,35.30,38.89
"[0,40,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,2,42,43,3]",68.06,36.11,43.17,47.22
"[0,40,43,3,2,42,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,1,5,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6]",68.06,34.72,41.78,45.83
"[0,8,48,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,34.72,41.78,45.83
