Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,100,11,19.57,44,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,100,11,19.57,44,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,100,3,21.13,58,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.00,100,3,21.80,58,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,100,7,22.00,65,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,100,10,22.33,63,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,100,10,22.33,63,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.70,100,10,22.33,63,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,100,10,22.33,63,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,100,10,22.33,63,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,100,10,22.33,63,0,0.00,0,0.00,0.00,0.00,100.00
