Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,2160,146,1082.53,2021,0,0.00,0,0.00,2.14,4.54,13.33
1.00,2.00,0.80,0.10,2160,187,1213.17,2129,0,0.00,0,0.00,2.24,4.38,13.33
1.00,2.00,0.80,1.00,2160,360,1210.20,2088,0,0.00,0,0.00,2.28,4.38,10.00
1.00,2.00,0.80,0.90,2160,317,1063.40,2104,0,0.00,0,0.00,2.42,4.42,16.67
1.00,2.00,0.80,0.40,2160,191,1200.90,2148,0,0.00,0,0.00,2.58,4.42,10.00
1.00,2.00,0.80,0.70,2160,78,1162.80,2126,0,0.00,0,0.00,2.82,4.38,13.33
1.00,2.00,0.80,0.80,2160,135,959.20,2085,0,0.00,0,0.00,2.84,4.38,16.67
1.00,2.00,0.80,0.50,2160,283,942.13,2108,0,0.00,0,0.00,2.91,4.46,16.67
1.00,2.00,0.80,0.60,2160,245,1060.93,2145,0,0.00,0,0.00,3.06,4.38,3.33
1.00,2.00,0.80,0.30,2160,216,981.80,2149,0,0.00,0,0.00,3.19,4.46,6.67
