Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,0.00,500,77,281.40,497,0,0.00,0,0.00,3.31,5.52,3.33
1.00,2.00,0.80,0.30,0.75,500,79,274.10,490,0,0.00,0,0.00,3.41,5.75,3.33
1.00,2.00,0.80,0.30,1.00,500,79,274.10,490,0,0.00,0,0.00,3.41,5.75,3.33
1.00,2.00,0.80,0.40,0.75,500,21,313.73,490,0,0.00,0,0.08,3.46,5.30,0.00
1.00,2.00,0.80,0.40,1.00,500,21,313.73,490,0,0.00,0,0.08,3.46,5.30,0.00
1.00,2.00,0.80,0.90,0.75,500,37,276.00,468,0,0.00,0,0.15,3.61,5.22,0.00
1.00,2.00,0.80,0.90,1.00,500,37,276.00,468,0,0.00,0,0.15,3.61,5.22,0.00
1.00,2.00,0.80,0.60,0.75,500,173,310.13,466,0,0.00,0,0.15,3.70,5.14,0.00
1.00,2.00,0.80,0.60,1.00,500,173,310.13,466,0,0.00,0,0.15,3.70,5.14,0.00
1.00,2.00,0.80,0.80,0.75,500,72,252.37,494,0,0.00,0,0.00,3.71,4.54,3.33
1.00,2.00,0.80,0.80,1.00,500,72,252.37,494,0,0.00,0,0.00,3.71,4.54,3.33
1.00,2.00,0.80,0.60,0.50,500,58,297.10,496,0,0.00,0,0.15,3.72,4.69,0.00
1.00,2.00,0.80,0.80,0.50,500,66,301.33,498,0,0.00,0,0.00,3.73,5.60,3.33
1.00,2.00,0.80,0.10,0.00,500,55,307.13,494,0,0.00,0,0.08,3.76,5.14,0.00
1.00,2.00,0.80,0.30,0.25,500,97,288.53,484,0,0.00,0,0.08,3.78,5.67,0.00
1.00,2.00,0.80,0.50,0.50,500,43,290.37,480,0,0.00,0,0.08,3.79,5.14,0.00
1.00,2.00,0.80,0.10,0.50,500,72,305.30,489,0,0.00,0,0.08,3.79,5.14,0.00
1.00,2.00,0.80,0.00,0.00,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.70,0.00,500,39,299.30,490,0,0.00,0,0.00,3.81,6.83,6.67
1.00,2.00,0.80,0.70,0.50,500,126,340.27,489,0,0.00,0,0.00,3.84,5.22,3.33
1.00,2.00,0.80,1.00,0.00,500,57,313.80,492,0,0.00,0,0.00,3.85,5.07,6.67
1.00,2.00,0.80,0.20,0.00,500,26,308.67,494,0,0.00,0,0.15,3.95,6.60,0.00
1.00,2.00,0.80,0.10,0.25,500,48,268.97,470,0,0.00,0,0.08,3.95,5.22,0.00
1.00,2.00,0.80,0.30,0.50,500,99,285.97,497,0,0.00,0,0.15,3.97,5.22,0.00
1.00,2.00,0.80,0.60,0.25,500,69,295.63,496,0,0.00,0,0.08,3.97,5.37,0.00
