Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,0.00,5940,5,14.00,24,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,0.25,5940,5,14.00,24,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,0.50,5940,5,14.00,24,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,0.75,5940,5,14.00,24,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,1.00,5940,5,14.00,24,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,0.00,5940,1,16.13,45,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,0.25,5940,1,16.13,45,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,0.50,5940,1,16.13,45,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,0.75,5940,1,16.13,45,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,1.00,5940,1,16.13,45,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,0.00,5940,1,17.20,62,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,0.25,5940,1,17.20,62,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,0.50,5940,1,17.20,62,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,0.75,5940,1,17.20,62,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,1.00,5940,1,17.20,62,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,0.00,5940,1,19.37,123,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,0.25,5940,1,19.37,123,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,0.50,5940,1,19.37,123,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,0.75,5940,1,19.37,123,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,1.00,5940,1,19.37,123,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,0.00,5940,2,20.23,143,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,0.25,5940,2,20.23,143,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,0.50,5940,2,20.23,143,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,0.75,5940,2,20.23,143,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,1.00,5940,2,20.23,143,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,0.00,5940,2,20.30,75,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,0.25,5940,2,20.30,75,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,0.50,5940,2,20.30,75,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,0.75,5940,2,20.30,75,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,1.00,5940,2,20.30,75,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,0.00,5940,1,29.87,238,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,0.25,5940,1,29.87,238,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,0.50,5940,1,29.87,238,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,0.75,5940,1,29.87,238,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,1.00,5940,1,29.87,238,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,0.00,5940,0,74.73,1868,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,0.25,5940,0,74.73,1868,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,0.50,5940,0,74.73,1868,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,0.75,5940,0,74.73,1868,0,0.00,0,0.00,0.00,0.00,100.00
