Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,1980,503,1377.20,1977,0,0.00,0,0.00,1.36,5.29,26.67
1.00,2.00,0.80,0.10,1980,319,884.70,1690,0,0.00,0,0.00,1.52,4.27,20.00
1.00,2.00,0.80,0.30,1980,276,1075.37,1885,0,0.00,0,0.00,1.73,6.04,30.00
1.00,2.00,0.80,0.70,1980,383,1324.17,1942,0,0.00,0,0.00,1.83,5.50,26.67
1.00,2.00,0.80,0.40,1980,258,1169.43,1888,0,0.00,0,0.00,1.88,6.92,26.67
1.00,2.00,0.80,1.00,1980,588,1553.17,1966,0,0.00,0,0.00,2.01,6.95,20.00
1.00,2.00,0.80,0.20,1980,187,1036.50,1934,0,0.00,0,0.00,2.11,6.34,20.00
1.00,2.00,0.80,0.60,1980,280,1211.40,1938,0,0.00,0,0.00,2.18,6.37,23.33
1.00,2.00,0.80,0.80,1980,172,1316.23,1969,0,0.00,0,0.00,2.51,6.08,26.67
1.00,2.00,0.80,0.90,1980,385,1321.13,1968,0,0.00,0,0.00,2.89,6.08,16.67
