Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,1980,291,1038.50,1959,0,0.00,0,0.00,0.25,1.69,36.67
1.00,2.00,0.80,0.70,1980,610,1454.33,1971,0,0.00,0,0.00,0.51,5.32,20.00
1.00,2.00,0.80,0.50,1980,619,1328.43,1930,0,0.00,0,0.00,0.61,6.75,43.33
1.00,2.00,0.80,0.60,1980,611,1290.43,1835,0,0.00,0,0.00,0.62,6.58,20.00
1.00,2.00,0.80,0.30,1980,402,1174.60,1964,0,0.00,0,0.00,0.95,4.92,36.67
1.00,2.00,0.80,0.90,1980,730,1503.67,1907,0,0.00,0,0.00,0.99,7.60,6.67
1.00,2.00,0.80,0.20,1980,420,1203.53,1973,0,0.00,0,0.00,1.05,4.60,36.67
1.00,2.00,0.80,0.80,1980,769,1529.80,1954,0,0.00,0,0.00,1.16,6.39,6.67
1.00,2.00,0.80,0.10,1980,148,941.57,1964,0,0.00,0,0.00,1.86,4.60,23.33
1.00,2.00,0.80,1.00,1980,1339,1622.23,1974,0,0.00,0,0.30,2.15,8.16,0.00
