Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,4020,20,1226.23,3564,0,0.00,0,0.48,0.62,0.80,0.00
1.00,2.00,0.80,0.80,4020,156,1081.90,2990,0,0.00,0,0.50,0.63,0.82,0.00
1.00,2.00,0.80,1.00,4020,40,1165.80,3757,0,0.00,0,0.59,0.64,0.78,0.00
1.00,2.00,0.80,0.70,4020,12,1136.97,3717,0,0.00,0,0.52,0.64,0.82,0.00
1.00,2.00,0.80,0.30,4020,28,1050.60,3715,0,0.00,0,0.48,0.66,1.00,0.00
1.00,2.00,0.80,0.60,4020,114,1043.67,2964,0,0.00,0,0.52,0.66,0.82,0.00
1.00,2.00,0.80,0.50,4020,38,1322.60,3835,0,0.00,0,0.53,0.67,0.86,0.00
1.00,2.00,0.80,0.40,4020,176,1158.50,3670,0,0.00,0,0.52,0.68,0.91,0.00
1.00,2.00,0.80,0.10,4020,133,1280.90,3708,0,0.00,0,0.53,0.76,1.07,0.00
1.00,2.00,0.80,0.20,4020,83,1030.30,3124,0,0.00,0,0.68,0.86,1.02,0.00
1.00,2.00,0.80,0.00,4020,131,1407.07,3732,0,0.00,0,1.00,1.16,1.34,0.00
