Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,0.00,4020,2,1143.07,3659,0,0.00,0,0.39,0.40,0.41,0.00
1.00,2.00,0.80,0.30,0.00,4020,98,1016.30,3627,0,0.00,0,0.37,0.40,0.46,0.00
1.00,2.00,0.80,0.40,0.00,4020,33,595.07,1809,0,0.00,0,0.39,0.40,0.43,0.00
1.00,2.00,0.80,0.50,0.00,4020,14,548.10,2991,0,0.00,0,0.39,0.40,0.41,0.00
1.00,2.00,0.80,0.60,0.00,4020,10,440.83,2094,0,0.00,0,0.39,0.41,0.41,0.00
1.00,2.00,0.80,0.70,0.00,4020,7,321.00,3098,0,0.00,0,0.39,0.41,0.41,0.00
1.00,2.00,0.80,1.00,0.00,4020,0,394.03,3533,0,0.00,0,0.39,0.41,0.41,0.00
1.00,2.00,0.80,0.80,0.00,4020,10,285.00,2493,0,0.00,0,0.39,0.41,0.41,0.00
1.00,2.00,0.80,1.00,0.25,4020,0,84.50,1954,0,0.00,0,0.39,0.41,0.41,0.00
1.00,2.00,0.80,0.90,0.25,4020,3,190.30,2787,0,0.00,0,0.39,0.41,0.41,0.00
1.00,2.00,0.80,0.80,0.25,4020,74,560.23,2551,0,0.00,0,0.39,0.41,0.43,0.00
1.00,2.00,0.80,0.70,0.25,4020,9,768.23,3396,0,0.00,0,0.39,0.41,0.45,0.00
1.00,2.00,0.80,0.60,0.25,4020,52,1105.70,3756,0,0.00,0,0.39,0.41,0.46,0.00
1.00,2.00,0.80,0.40,0.25,4020,214,1199.27,2747,0,0.00,0,0.39,0.41,0.45,0.00
1.00,2.00,0.80,0.30,0.50,4020,92,902.87,3331,0,0.00,0,0.39,0.41,0.45,0.00
1.00,2.00,0.80,0.50,0.25,4020,68,1218.17,3124,0,0.00,0,0.39,0.41,0.46,0.00
1.00,2.00,0.80,0.50,0.50,4020,302,1508.60,3819,0,0.00,0,0.39,0.42,0.45,0.00
1.00,2.00,0.80,0.80,0.50,4020,168,1264.10,3660,0,0.00,0,0.39,0.42,0.45,0.00
