Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,500,130,343.70,494,0,0.00,0,0.72,4.90,10.53,0.00
1.00,2.00,0.80,0.60,500,85,275.33,499,0,0.00,0,0.09,5.14,11.92,0.00
1.00,2.00,0.80,0.20,500,57,318.07,498,0,0.00,0,2.48,5.54,9.05,0.00
1.00,2.00,0.80,0.70,500,33,277.90,496,0,0.00,0,1.03,5.65,12.96,0.00
1.00,2.00,0.80,0.50,500,48,310.77,490,0,0.00,0,1.12,5.70,10.82,0.00
1.00,2.00,0.80,0.10,500,83,290.03,499,0,0.00,0,2.74,5.70,9.98,0.00
1.00,2.00,0.80,1.00,500,86,292.67,495,0,0.00,0,2.19,5.71,11.06,0.00
1.00,2.00,0.80,0.00,500,48,297.10,495,0,0.00,0,2.48,5.85,10.22,0.00
1.00,2.00,0.80,0.30,500,50,301.53,485,0,0.00,0,2.48,5.94,10.14,0.00
1.00,2.00,0.80,0.40,500,63,282.13,489,0,0.00,0,1.14,5.97,12.21,0.00
1.00,2.00,0.80,0.80,500,44,281.07,496,0,0.00,0,1.80,6.07,12.21,0.00
