Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,1590,93,735.60,1577,0,0.00,0,1.12,2.55,7.99,0.00
1.00,2.00,0.80,0.90,1590,17,671.60,1491,0,0.00,0,1.12,2.66,5.37,0.00
1.00,2.00,0.80,0.30,1590,58,735.77,1426,0,0.00,0,0.09,2.66,6.72,0.00
1.00,2.00,0.80,0.80,1590,41,541.70,1428,0,0.00,0,1.12,2.78,5.59,0.00
1.00,2.00,0.80,0.50,1590,51,563.83,1423,0,0.00,0,0.00,2.78,7.41,3.33
1.00,2.00,0.80,1.00,1590,33,761.13,1575,0,0.00,0,1.12,2.92,5.78,0.00
1.00,2.00,0.80,0.40,1590,48,606.97,1292,0,0.00,0,1.12,2.93,6.75,0.00
1.00,2.00,0.80,0.10,1590,54,896.67,1536,0,0.00,0,1.14,2.97,7.72,0.00
1.00,2.00,0.80,0.70,1590,28,595.93,1525,0,0.00,0,1.30,3.01,5.56,0.00
1.00,2.00,0.80,0.20,1590,136,914.03,1567,0,0.00,0,0.90,3.44,9.63,0.00
1.00,2.00,0.80,0.00,1590,75,834.57,1544,0,0.00,0,1.39,4.57,9.14,0.00
