Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,0.75,500,91,294.17,496,0,0.00,0,1.12,2.14,4.66,0.00
1.00,2.00,0.80,0.90,1.00,500,91,294.17,496,0,0.00,0,1.12,2.14,4.66,0.00
1.00,2.00,0.80,0.80,0.75,500,46,293.73,498,0,0.00,0,0.67,2.19,5.03,0.00
1.00,2.00,0.80,0.80,1.00,500,46,293.73,498,0,0.00,0,0.67,2.19,5.03,0.00
1.00,2.00,0.80,1.00,0.75,500,42,272.03,496,0,0.00,0,1.26,2.59,4.98,0.00
1.00,2.00,0.80,1.00,1.00,500,42,272.03,496,0,0.00,0,1.26,2.59,4.98,0.00
1.00,2.00,0.80,0.70,0.75,500,26,248.63,472,0,0.00,0,1.12,3.00,8.57,0.00
1.00,2.00,0.80,0.70,1.00,500,26,248.63,472,0,0.00,0,1.12,3.00,8.57,0.00
1.00,2.00,0.80,0.60,0.75,500,67,267.40,499,0,0.00,0,1.03,3.03,6.10,0.00
1.00,2.00,0.80,0.60,1.00,500,67,267.40,499,0,0.00,0,1.03,3.03,6.10,0.00
1.00,2.00,0.80,0.50,0.75,500,27,249.70,491,0,0.00,0,1.12,3.31,8.21,0.00
1.00,2.00,0.80,0.50,1.00,500,27,249.70,491,0,0.00,0,1.12,3.31,8.21,0.00
1.00,2.00,0.80,0.80,0.25,500,33,259.73,482,0,0.00,0,1.17,3.48,6.95,0.00
1.00,2.00,0.80,0.80,0.50,500,33,259.73,482,0,0.00,0,1.17,3.48,6.95,0.00
1.00,2.00,0.80,0.70,0.25,500,21,231.83,497,0,0.00,0,1.12,3.63,6.37,0.00
1.00,2.00,0.80,0.70,0.50,500,21,231.83,497,0,0.00,0,1.12,3.63,6.37,0.00
1.00,2.00,0.80,0.60,0.25,500,34,289.80,499,0,0.00,0,1.03,3.68,7.97,0.00
1.00,2.00,0.80,0.60,0.50,500,34,289.80,499,0,0.00,0,1.03,3.68,7.97,0.00
1.00,2.00,0.80,0.90,0.00,500,27,193.70,457,0,0.00,0,2.04,3.77,7.52,0.00
1.00,2.00,0.80,0.50,0.25,500,29,263.53,467,0,0.00,0,1.12,3.77,8.18,0.00
1.00,2.00,0.80,0.50,0.50,500,29,263.53,467,0,0.00,0,1.12,3.77,8.18,0.00
1.00,2.00,0.80,1.00,0.25,500,27,259.87,496,0,0.00,0,1.12,3.81,6.95,0.00
1.00,2.00,0.80,1.00,0.50,500,27,259.87,496,0,0.00,0,1.12,3.81,6.95,0.00
1.00,2.00,0.80,0.40,0.75,500,45,236.37,481,0,0.00,0,1.12,3.84,10.02,0.00
1.00,2.00,0.80,0.40,1.00,500,45,236.37,481,0,0.00,0,1.12,3.84,10.02,0.00
1.00,2.00,0.80,0.30,0.75,500,37,276.33,465,0,0.00,0,0.87,3.85,10.20,0.00
1.00,2.00,0.80,0.30,1.00,500,37,276.33,465,0,0.00,0,0.87,3.85,10.20,0.00
