Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,1950,337,942.37,1887,0,0.00,0,0.00,0.53,0.92,30.00
1.00,2.00,0.80,0.30,1950,106,681.77,1769,0,0.00,0,0.00,0.55,2.12,36.67
1.00,2.00,0.80,0.50,1950,240,932.33,1928,0,0.00,0,0.00,0.58,0.92,26.67
1.00,2.00,0.80,0.40,1950,118,778.17,1946,0,0.00,0,0.00,0.65,1.25,20.00
1.00,2.00,0.80,0.70,1950,390,1127.07,1876,0,0.00,0,0.00,0.73,2.07,13.33
1.00,2.00,0.80,0.10,1950,104,612.77,1799,0,0.00,0,0.00,0.76,2.61,20.00
1.00,2.00,0.80,0.80,1950,144,872.03,1523,0,0.00,0,0.00,0.81,2.28,6.67
1.00,2.00,0.80,0.20,1950,56,618.90,1840,0,0.00,0,0.00,0.84,4.13,3.33
1.00,2.00,0.80,0.90,1950,196,1049.50,1731,0,0.00,0,0.00,0.84,2.18,10.00
1.00,2.00,0.80,1.00,1950,124,1232.30,1915,0,0.00,0,0.00,0.86,2.28,10.00
