Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,1950,112,806.33,1933,0,0.00,0,0.00,0.92,3.75,10.00
1.00,2.00,0.80,1.00,1950,66,600.93,1704,0,0.00,0,0.00,0.93,1.79,6.67
1.00,2.00,0.80,0.80,1950,22,475.47,1798,0,0.00,0,0.60,0.96,1.69,0.00
1.00,2.00,0.80,0.40,1950,63,657.70,1794,0,0.00,0,0.00,1.00,3.26,3.33
1.00,2.00,0.80,0.30,1950,33,545.13,1682,0,0.00,0,0.00,1.00,4.46,10.00
1.00,2.00,0.80,0.10,1950,73,621.27,1760,0,0.00,0,0.00,1.02,5.11,6.67
1.00,2.00,0.80,0.60,1950,66,487.70,1927,0,0.00,0,0.00,1.04,4.89,6.67
1.00,2.00,0.80,0.20,1950,57,643.57,1939,0,0.00,0,0.00,1.05,3.97,6.67
1.00,2.00,0.80,0.70,1950,40,466.63,1257,0,0.00,0,0.00,1.06,4.68,6.67
1.00,2.00,0.80,0.00,1950,52,565.73,1678,0,0.00,0,0.00,1.13,4.68,13.33
1.00,2.00,0.80,0.90,1950,41,474.30,1691,0,0.00,0,0.00,1.18,3.75,3.33
