Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,0.00,1950,118,587.53,1616,0,0.00,0,0.00,0.07,0.65,90.00
1.00,2.00,0.80,0.50,0.00,1950,102,796.83,1887,0,0.00,0,0.00,0.07,0.98,90.00
1.00,2.00,0.80,0.60,0.00,1950,308,917.37,1791,0,0.00,0,0.00,0.08,0.65,86.67
1.00,2.00,0.80,0.40,0.00,1950,179,797.07,1933,0,0.00,0,0.00,0.13,0.65,80.00
1.00,2.00,0.80,0.70,0.00,1950,325,1137.17,1878,0,0.00,0,0.00,0.16,0.98,76.67
1.00,2.00,0.80,1.00,0.00,1950,683,1416.00,1931,0,0.00,0,0.00,0.17,1.25,76.67
1.00,2.00,0.80,0.20,0.00,1950,132,673.37,1654,0,0.00,0,0.00,0.18,1.03,76.67
1.00,2.00,0.80,0.80,0.00,1950,605,1233.13,1883,0,0.00,0,0.00,0.21,1.25,73.33
1.00,2.00,0.80,0.20,0.25,1950,34,659.47,1552,0,0.00,0,0.00,0.27,0.82,60.00
1.00,2.00,0.80,0.20,0.50,1950,34,659.47,1552,0,0.00,0,0.00,0.27,0.82,60.00
1.00,2.00,0.80,0.20,0.75,1950,34,659.47,1552,0,0.00,0,0.00,0.27,0.82,60.00
1.00,2.00,0.80,0.20,1.00,1950,34,659.47,1552,0,0.00,0,0.00,0.27,0.82,60.00
1.00,2.00,0.80,0.60,0.25,1950,300,1210.03,1804,0,0.00,0,0.00,0.33,0.76,50.00
1.00,2.00,0.80,0.60,0.50,1950,300,1210.03,1804,0,0.00,0,0.00,0.33,0.76,50.00
1.00,2.00,0.80,0.60,0.75,1950,300,1210.03,1804,0,0.00,0,0.00,0.33,0.76,50.00
1.00,2.00,0.80,0.60,1.00,1950,300,1210.03,1804,0,0.00,0,0.00,0.33,0.76,50.00
1.00,2.00,0.80,0.90,0.00,1950,335,1211.33,1869,0,0.00,0,0.00,0.35,1.25,56.67
1.00,2.00,0.80,1.00,0.25,1950,201,1543.70,1942,0,0.00,0,0.00,0.37,0.82,46.67
1.00,2.00,0.80,1.00,0.50,1950,201,1543.70,1942,0,0.00,0,0.00,0.37,0.82,46.67
1.00,2.00,0.80,1.00,0.75,1950,201,1543.70,1942,0,0.00,0,0.00,0.37,0.82,46.67
1.00,2.00,0.80,1.00,1.00,1950,201,1543.70,1942,0,0.00,0,0.00,0.37,0.82,46.67
1.00,2.00,0.80,0.40,0.25,1950,22,941.10,1791,0,0.00,0,0.00,0.40,0.82,40.00
1.00,2.00,0.80,0.40,0.50,1950,22,941.10,1791,0,0.00,0,0.00,0.40,0.82,40.00
1.00,2.00,0.80,0.40,0.75,1950,22,941.10,1791,0,0.00,0,0.00,0.40,0.82,40.00
1.00,2.00,0.80,0.40,1.00,1950,22,941.10,1791,0,0.00,0,0.00,0.40,0.82,40.00
1.00,2.00,0.80,0.10,0.25,1950,33,496.03,1726,0,0.00,0,0.00,0.41,1.74,46.67
1.00,2.00,0.80,0.10,0.50,1950,33,496.03,1726,0,0.00,0,0.00,0.41,1.74,46.67
1.00,2.00,0.80,0.10,0.75,1950,33,496.03,1726,0,0.00,0,0.00,0.41,1.74,46.67
1.00,2.00,0.80,0.10,1.00,1950,33,496.03,1726,0,0.00,0,0.00,0.41,1.74,46.67
1.00,2.00,0.80,0.30,0.25,1950,108,1017.90,1874,0,0.00,0,0.00,0.41,0.65,36.67
1.00,2.00,0.80,0.30,0.50,1950,108,1017.90,1874,0,0.00,0,0.00,0.41,0.65,36.67
1.00,2.00,0.80,0.30,0.75,1950,108,1017.90,1874,0,0.00,0,0.00,0.41,0.65,36.67
1.00,2.00,0.80,0.30,1.00,1950,108,1017.90,1874,0,0.00,0,0.00,0.41,0.65,36.67
1.00,2.00,0.80,0.80,0.25,1950,787,1484.93,1934,0,0.00,0,0.00,0.43,0.76,36.67
1.00,2.00,0.80,0.80,0.50,1950,787,1484.93,1934,0,0.00,0,0.00,0.43,0.76,36.67
1.00,2.00,0.80,0.80,0.75,1950,787,1484.93,1934,0,0.00,0,0.00,0.43,0.76,36.67
1.00,2.00,0.80,0.80,1.00,1950,787,1484.93,1934,0,0.00,0,0.00,0.43,0.76,36.67
1.00,2.00,0.80,0.50,0.25,1950,182,1144.73,1935,0,0.00,0,0.00,0.45,0.76,33.33
1.00,2.00,0.80,0.50,0.50,1950,182,1144.73,1935,0,0.00,0,0.00,0.45,0.76,33.33
1.00,2.00,0.80,0.50,0.75,1950,182,1144.73,1935,0,0.00,0,0.00,0.45,0.76,33.33
1.00,2.00,0.80,0.50,1.00,1950,182,1144.73,1935,0,0.00,0,0.00,0.45,0.76,33.33
1.00,2.00,0.80,0.70,0.25,1950,315,1392.83,1924,0,0.00,0,0.00,0.45,0.76,33.33
1.00,2.00,0.80,0.70,0.50,1950,315,1392.83,1924,0,0.00,0,0.00,0.45,0.76,33.33
1.00,2.00,0.80,0.70,0.75,1950,315,1392.83,1924,0,0.00,0,0.00,0.45,0.76,33.33
1.00,2.00,0.80,0.70,1.00,1950,315,1392.83,1924,0,0.00,0,0.00,0.45,0.76,33.33
1.00,2.00,0.80,0.90,0.25,1950,202,1456.47,1946,0,0.00,0,0.00,0.52,0.82,26.67
1.00,2.00,0.80,0.90,0.50,1950,202,1456.47,1946,0,0.00,0,0.00,0.52,0.82,26.67
