Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,100,2,41.70,99,0,0.00,0,0.34,0.38,0.43,0.00
1.00,2.00,0.80,1.00,100,6,38.97,89,0,0.00,0,0.32,0.38,0.41,0.00
1.00,2.00,0.80,0.70,100,3,37.43,76,0,0.00,0,0.32,0.39,0.46,0.00
1.00,2.00,0.80,0.60,100,12,40.27,96,0,0.00,0,0.34,0.39,0.44,0.00
1.00,2.00,0.80,0.50,100,4,38.67,98,0,0.00,0,0.32,0.39,0.44,0.00
1.00,2.00,0.80,0.80,100,2,42.27,80,0,0.00,0,0.34,0.39,0.44,0.00
1.00,2.00,0.80,0.30,100,2,38.00,98,0,0.00,0,0.32,0.40,0.48,0.00
1.00,2.00,0.80,0.40,100,2,35.60,88,0,0.00,0,0.36,0.40,0.43,0.00
1.00,2.00,0.80,0.20,100,14,42.37,95,0,0.00,0,0.32,0.42,0.48,0.00
1.00,2.00,0.80,0.10,100,2,36.40,90,0,0.00,0,0.36,0.46,0.59,0.00
