Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,0.50,100,8,35.93,86,0,0.00,0,0.32,0.39,0.44,0.00
1.00,2.00,0.80,0.90,0.50,100,5,36.23,98,0,0.00,0,0.32,0.39,0.53,0.00
1.00,2.00,0.80,0.70,0.50,100,4,30.27,96,0,0.00,0,0.32,0.40,0.48,0.00
1.00,2.00,0.80,0.90,0.00,100,7,33.70,99,0,0.00,0,0.32,0.40,0.48,0.00
1.00,2.00,0.80,0.90,0.25,100,4,36.37,97,0,0.00,0,0.36,0.41,0.48,0.00
1.00,2.00,0.80,0.80,0.00,100,2,30.13,99,0,0.00,0,0.32,0.41,0.48,0.00
1.00,2.00,0.80,1.00,0.50,100,5,38.40,97,0,0.00,0,0.32,0.41,0.53,0.00
1.00,2.00,0.80,0.40,0.25,100,8,31.47,97,0,0.00,0,0.36,0.41,0.52,0.00
1.00,2.00,0.80,0.50,0.50,100,9,31.43,92,0,0.00,0,0.32,0.41,0.48,0.00
1.00,2.00,0.80,1.00,0.00,100,5,35.20,88,0,0.00,0,0.32,0.41,0.48,0.00
1.00,2.00,0.80,0.70,0.00,100,9,32.03,97,0,0.00,0,0.37,0.41,0.48,0.00
1.00,2.00,0.80,0.60,0.50,100,10,34.33,83,0,0.00,0,0.32,0.41,0.52,0.00
1.00,2.00,0.80,0.30,0.00,100,14,36.87,94,0,0.00,0,0.32,0.41,0.52,0.00
1.00,2.00,0.80,0.70,0.25,100,7,31.80,86,0,0.00,0,0.32,0.41,0.48,0.00
1.00,2.00,0.80,0.50,0.00,100,11,35.47,92,0,0.00,0,0.32,0.41,0.50,0.00
1.00,2.00,0.80,0.80,0.25,100,6,29.27,87,0,0.00,0,0.32,0.41,0.48,0.00
1.00,2.00,0.80,0.60,0.00,100,5,32.37,88,0,0.00,0,0.32,0.41,0.50,0.00
1.00,2.00,0.80,0.30,0.50,100,0,34.43,87,0,0.00,0,0.36,0.42,0.59,0.00
1.00,2.00,0.80,0.60,0.25,100,8,32.97,93,0,0.00,0,0.36,0.42,0.53,0.00
1.00,2.00,0.80,0.50,0.25,100,7,32.73,98,0,0.00,0,0.36,0.42,0.59,0.00
1.00,2.00,0.80,0.20,0.25,100,9,30.03,98,0,0.00,0,0.36,0.43,0.55,0.00
1.00,2.00,0.80,0.40,0.00,100,6,28.47,83,0,0.00,0,0.36,0.43,0.48,0.00
1.00,2.00,0.80,0.20,0.00,100,12,34.23,99,0,0.00,0,0.36,0.43,0.55,0.00
1.00,2.00,0.80,0.20,0.50,100,10,26.43,97,0,0.00,0,0.36,0.43,0.59,0.00
1.00,2.00,0.80,0.40,0.50,100,8,33.83,93,0,0.00,0,0.36,0.43,0.59,0.00
1.00,2.00,0.80,1.00,0.25,100,3,32.17,96,0,0.00,0,0.37,0.43,0.52,0.00
1.00,2.00,0.80,0.30,0.25,100,4,34.07,97,0,0.00,0,0.36,0.43,0.55,0.00
1.00,2.00,0.80,0.10,0.00,100,7,41.13,99,0,0.00,0,0.32,0.46,0.59,0.00
1.00,2.00,0.80,1.00,0.75,100,2,27.80,83,0,0.00,0,0.32,0.46,0.52,0.00
1.00,2.00,0.80,1.00,1.00,100,0,38.73,96,0,0.00,0,0.32,0.47,0.60,0.00
1.00,2.00,0.80,0.70,0.75,100,7,33.33,92,0,0.00,0,0.37,0.47,0.52,0.00
1.00,2.00,0.80,0.50,0.75,100,4,29.27,99,0,0.00,0,0.37,0.47,0.52,0.00
1.00,2.00,0.80,0.50,1.00,100,9,35.87,94,0,0.00,0,0.37,0.47,0.59,0.00
1.00,2.00,0.80,0.90,0.75,100,0,22.80,83,0,0.00,0,0.37,0.47,0.52,0.00
1.00,2.00,0.80,0.20,0.75,100,2,30.57,99,0,0.00,0,0.32,0.48,0.52,0.00
1.00,2.00,0.80,0.80,1.00,100,6,32.43,94,0,0.00,0,0.32,0.48,0.52,0.00
1.00,2.00,0.80,0.90,1.00,100,0,37.00,95,0,0.00,0,0.37,0.48,0.59,0.00
1.00,2.00,0.80,0.60,0.75,100,2,25.97,74,0,0.00,0,0.34,0.48,0.52,0.00
1.00,2.00,0.80,0.70,1.00,100,2,42.77,97,0,0.00,0,0.37,0.48,0.57,0.00
1.00,2.00,0.80,0.40,1.00,100,4,35.00,95,0,0.00,0,0.37,0.48,0.59,0.00
1.00,2.00,0.80,0.00,0.00,100,11,50.10,96,0,0.00,0,0.36,0.48,0.59,0.00
1.00,2.00,0.80,0.30,0.75,100,4,26.03,79,0,0.00,0,0.37,0.49,0.52,0.00
1.00,2.00,0.80,0.10,0.50,100,4,44.67,95,0,0.00,0,0.32,0.49,0.59,0.00
1.00,2.00,0.80,0.20,1.00,100,3,31.23,88,0,0.00,0,0.37,0.49,0.52,0.00
1.00,2.00,0.80,0.30,1.00,100,3,36.07,98,0,0.00,0,0.41,0.49,0.55,0.00
1.00,2.00,0.80,0.10,0.25,100,7,51.03,93,0,0.00,0,0.32,0.49,0.59,0.00
1.00,2.00,0.80,0.60,1.00,100,1,31.40,86,0,0.00,0,0.37,0.49,0.59,0.00
1.00,2.00,0.80,0.80,0.75,100,3,21.17,83,0,0.00,0,0.41,0.49,0.52,0.00
1.00,2.00,0.80,0.40,0.75,100,2,35.80,98,0,0.00,0,0.41,0.49,0.52,0.00
1.00,2.00,0.80,0.10,0.75,100,6,35.33,92,0,0.00,0,0.43,0.50,0.52,0.00
1.00,2.00,0.80,0.10,1.00,100,5,26.97,94,0,0.00,0,0.44,0.51,0.59,0.00
