Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,9690,4325,7565.63,9598,0,0.00,0,6.79,8.43,11.54,0.00
1.00,2.00,0.80,0.30,9690,3350,7794.63,9586,0,0.00,0,6.94,8.53,10.26,0.00
1.00,2.00,0.80,0.60,9690,3280,7823.00,9672,0,0.00,0,6.56,8.54,11.24,0.00
1.00,2.00,0.80,0.40,9690,1216,7319.30,9669,0,0.00,0,6.86,8.54,9.80,0.00
1.00,2.00,0.80,0.20,9690,3621,7599.33,9585,0,0.00,0,6.64,8.55,10.71,0.00
1.00,2.00,0.80,0.80,9690,1844,7034.37,9682,0,0.00,0,6.26,8.63,10.71,0.00
1.00,2.00,0.80,0.70,9690,4338,8069.83,9654,0,0.00,0,7.16,8.63,10.78,0.00
1.00,2.00,0.80,0.10,9690,3280,7547.67,9440,0,0.00,0,7.32,8.64,11.09,0.00
1.00,2.00,0.80,1.00,9690,1451,7201.57,9589,0,0.00,0,7.32,8.81,10.48,0.00
1.00,2.00,0.80,0.90,9690,2062,6735.47,9557,0,0.00,0,6.79,8.84,11.16,0.00
