Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,9690,4144,7340.90,9480,0,0.00,0,6.94,8.31,10.78,0.00
1.00,2.00,0.80,0.20,9690,2749,6794.37,9471,0,0.00,0,6.79,8.44,10.56,0.00
1.00,2.00,0.80,0.70,9690,1063,7178.27,9678,0,0.00,0,6.41,8.45,10.33,0.00
1.00,2.00,0.80,0.50,9690,2394,7207.77,9646,0,0.00,0,6.56,8.47,11.99,0.00
1.00,2.00,0.80,0.00,9690,2047,7024.33,9521,0,0.00,0,5.88,8.56,10.63,0.00
1.00,2.00,0.80,0.10,9690,3023,7254.83,9620,0,0.00,0,7.01,8.65,10.48,0.00
1.00,2.00,0.80,0.80,9690,2046,6949.23,9450,0,0.00,0,6.86,8.65,10.33,0.00
1.00,2.00,0.80,0.30,9690,1639,7132.17,9442,0,0.00,0,6.26,8.70,10.94,0.00
1.00,2.00,0.80,0.40,9690,3691,7139.13,9558,0,0.00,0,6.94,8.72,10.56,0.00
1.00,2.00,0.80,1.00,9690,649,6518.80,9642,0,0.00,0,7.47,8.72,10.63,0.00
1.00,2.00,0.80,0.90,9690,2075,6347.83,9148,0,0.00,0,6.56,8.82,10.63,0.00
