Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,100,36,72.27,99,0,0.00,0,0.17,3.12,6.05,0.00
1.00,2.00,0.80,0.70,100,24,75.63,99,0,0.00,0,1.16,3.14,5.26,0.00
1.00,2.00,0.80,1.00,100,24,65.13,95,0,0.00,0,1.16,3.18,6.41,0.00
1.00,2.00,0.80,0.80,100,40,75.77,99,0,0.00,0,0.26,3.29,5.12,0.00
1.00,2.00,0.80,0.90,100,38,71.47,99,0,0.00,0,0.17,3.41,6.91,0.00
1.00,2.00,0.80,0.50,100,28,79.07,99,0,0.00,0,1.07,3.61,8.44,0.00
1.00,2.00,0.80,0.30,100,41,74.10,97,0,0.00,0,1.21,3.61,5.09,0.00
1.00,2.00,0.80,0.10,100,38,74.60,99,0,0.00,0,1.30,3.63,6.91,0.00
1.00,2.00,0.80,0.40,100,21,71.70,98,0,0.00,0,1.24,3.90,7.11,0.00
1.00,2.00,0.80,0.20,100,30,75.63,99,0,0.00,0,0.59,3.94,6.44,0.00
