Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,0.00,100,20,66.13,99,0,0.00,0,1.26,2.86,5.78,0.00
1.00,2.00,0.80,0.50,0.00,100,25,69.10,99,0,0.00,0,0.84,2.88,5.37,0.00
1.00,2.00,0.80,0.40,0.00,100,31,70.97,97,0,0.00,0,0.59,3.11,5.89,0.00
1.00,2.00,0.80,0.70,0.00,100,22,66.17,98,0,0.00,0,1.35,3.11,6.08,0.00
1.00,2.00,0.80,0.80,0.00,100,20,72.30,98,0,0.00,0,0.94,3.14,4.55,0.00
1.00,2.00,0.80,0.30,0.50,100,35,79.63,99,0,0.00,0,1.48,3.18,6.71,0.00
1.00,2.00,0.80,1.00,0.00,100,17,60.97,99,0,0.00,0,1.59,3.25,3.99,0.00
1.00,2.00,0.80,0.90,0.00,100,15,60.33,99,0,0.00,0,1.59,3.35,4.60,0.00
1.00,2.00,0.80,0.60,0.00,100,20,54.53,96,0,0.00,0,1.35,3.38,4.90,0.00
1.00,2.00,0.80,0.20,0.00,100,25,72.03,99,0,0.00,0,0.00,3.45,6.84,3.33
1.00,2.00,0.80,0.10,0.50,100,31,70.70,98,0,0.00,0,1.57,3.62,7.26,0.00
1.00,2.00,0.80,0.20,0.50,100,20,74.70,98,0,0.00,0,1.18,3.68,5.83,0.00
1.00,2.00,0.80,0.10,0.00,100,38,75.70,99,0,0.00,0,1.36,3.94,7.16,0.00
1.00,2.00,0.80,0.50,0.50,100,31,77.03,98,0,0.00,0,1.17,3.97,7.60,0.00
1.00,2.00,0.80,0.30,0.25,100,33,67.33,99,0,0.00,0,1.02,4.06,6.86,0.00
1.00,2.00,0.80,0.40,0.50,100,26,67.43,99,0,0.00,0,1.16,4.10,7.23,0.00
1.00,2.00,0.80,0.40,0.25,100,35,72.27,98,0,0.00,0,1.58,4.20,8.07,0.00
1.00,2.00,0.80,0.60,0.50,100,19,74.73,99,0,0.00,0,1.01,4.23,8.82,0.00
1.00,2.00,0.80,0.10,0.25,100,34,78.27,99,0,0.00,0,1.03,4.27,8.48,0.00
1.00,2.00,0.80,0.30,0.75,100,36,74.40,99,0,0.00,0,0.93,4.27,8.68,0.00
1.00,2.00,0.80,0.30,1.00,100,36,74.40,99,0,0.00,0,0.93,4.27,8.68,0.00
1.00,2.00,0.80,0.50,0.25,100,31,61.97,99,0,0.00,0,1.71,4.27,7.97,0.00
1.00,2.00,0.80,0.20,0.25,100,40,77.33,99,0,0.00,0,0.67,4.33,7.32,0.00
1.00,2.00,0.80,0.20,0.75,100,32,76.53,98,0,0.00,0,1.72,4.42,8.67,0.00
1.00,2.00,0.80,0.20,1.00,100,32,76.53,98,0,0.00,0,1.72,4.42,8.67,0.00
1.00,2.00,0.80,0.00,0.00,100,43,78.63,99,0,0.00,0,1.14,4.48,9.51,0.00
1.00,2.00,0.80,0.70,0.50,100,23,71.57,99,0,0.00,0,2.12,4.48,8.24,0.00
1.00,2.00,0.80,0.10,0.75,100,39,76.07,99,0,0.00,0,1.03,4.53,13.37,0.00
1.00,2.00,0.80,0.10,1.00,100,39,76.07,99,0,0.00,0,1.03,4.53,13.37,0.00
1.00,2.00,0.80,0.60,0.25,100,51,76.70,99,0,0.00,0,1.31,4.96,8.60,0.00
1.00,2.00,0.80,0.70,0.25,100,22,63.90,96,0,0.00,0,1.74,4.96,8.12,0.00
1.00,2.00,0.80,0.40,0.75,100,29,72.17,98,0,0.00,0,2.30,4.96,8.44,0.00
1.00,2.00,0.80,0.40,1.00,100,29,72.17,98,0,0.00,0,2.30,4.96,8.44,0.00
1.00,2.00,0.80,0.50,0.75,100,29,76.43,99,0,0.00,0,0.82,5.06,9.22,0.00
1.00,2.00,0.80,0.50,1.00,100,29,76.43,99,0,0.00,0,0.82,5.06,9.22,0.00
1.00,2.00,0.80,0.90,0.25,100,27,68.70,98,0,0.00,0,2.44,5.12,7.49,0.00
1.00,2.00,0.80,0.80,0.50,100,25,66.20,95,0,0.00,0,1.87,5.13,10.01,0.00
1.00,2.00,0.80,1.00,0.50,100,23,72.77,99,0,0.00,0,2.45,5.15,7.72,0.00
1.00,2.00,0.80,1.00,0.25,100,42,77.73,99,0,0.00,0,1.96,5.17,9.88,0.00
1.00,2.00,0.80,0.80,0.25,100,28,75.73,98,0,0.00,0,2.95,5.19,9.12,0.00
1.00,2.00,0.80,0.90,0.50,100,12,74.27,99,0,0.00,0,2.34,5.35,8.67,0.00
1.00,2.00,0.80,0.80,0.75,100,25,73.80,97,0,0.00,0,2.29,5.62,8.65,0.00
1.00,2.00,0.80,0.80,1.00,100,25,73.80,97,0,0.00,0,2.29,5.62,8.65,0.00
1.00,2.00,0.80,0.70,0.75,100,18,63.13,98,0,0.00,0,1.68,5.72,9.01,0.00
1.00,2.00,0.80,0.70,1.00,100,18,63.13,98,0,0.00,0,1.68,5.72,9.01,0.00
1.00,2.00,0.80,0.90,0.75,100,14,69.40,98,0,0.00,0,4.17,5.92,8.34,0.00
1.00,2.00,0.80,0.90,1.00,100,14,69.40,98,0,0.00,0,4.17,5.92,8.34,0.00
1.00,2.00,0.80,0.60,0.75,100,29,73.60,98,0,0.00,0,3.24,6.01,8.97,0.00
1.00,2.00,0.80,0.60,1.00,100,29,73.60,98,0,0.00,0,3.24,6.01,8.97,0.00
1.00,2.00,0.80,1.00,0.75,100,25,76.20,98,0,0.00,0,2.00,6.35,9.58,0.00
1.00,2.00,0.80,1.00,1.00,100,25,76.20,98,0,0.00,0,2.00,6.35,9.58,0.00
