Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,3030,903,2530.63,3021,0,0.00,0,0.40,0.64,1.13,0.00
1.00,2.00,0.80,0.90,3030,1376,2438.53,3019,0,0.00,0,0.40,0.67,1.01,0.00
1.00,2.00,0.80,0.20,3030,1468,2674.03,3017,0,0.00,0,0.41,0.68,0.96,0.00
1.00,2.00,0.80,1.00,3030,699,2231.53,3029,0,0.00,0,0.38,0.69,1.14,0.00
1.00,2.00,0.80,0.60,3030,1940,2579.93,2994,0,0.00,0,0.37,0.75,1.33,0.00
1.00,2.00,0.80,0.80,3030,436,2233.67,3009,0,0.00,0,0.41,0.76,1.88,0.00
1.00,2.00,0.80,0.40,3030,1571,2546.90,3022,0,0.00,0,0.44,0.77,1.44,0.00
1.00,2.00,0.80,0.70,3030,1333,2574.17,3025,0,0.00,0,0.44,0.78,1.23,0.00
1.00,2.00,0.80,0.10,3030,1441,2605.77,3026,0,0.00,0,0.46,0.80,1.30,0.00
1.00,2.00,0.80,0.30,3030,1154,2592.73,3008,0,0.00,0,0.41,0.80,1.49,0.00
