Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,3030,1697,2558.00,3017,0,0.00,0,0.35,0.56,0.98,0.00
1.00,2.00,0.80,0.60,3030,706,2227.17,3006,0,0.00,0,0.35,0.58,1.31,0.00
1.00,2.00,0.80,0.80,3030,770,2315.53,3027,0,0.00,0,0.33,0.62,0.96,0.00
1.00,2.00,0.80,0.20,3030,790,2520.50,3017,0,0.00,0,0.37,0.65,1.37,0.00
1.00,2.00,0.80,0.10,3030,1921,2708.30,3013,0,0.00,0,0.34,0.66,1.27,0.00
1.00,2.00,0.80,0.50,3030,1399,2501.97,3012,0,0.00,0,0.34,0.67,1.26,0.00
1.00,2.00,0.80,0.30,3030,930,2554.60,3028,0,0.00,0,0.35,0.68,1.21,0.00
1.00,2.00,0.80,1.00,3030,664,2266.93,3003,0,0.00,0,0.35,0.69,1.15,0.00
1.00,2.00,0.80,0.70,3030,657,2295.80,3019,0,0.00,0,0.34,0.70,1.20,0.00
1.00,2.00,0.80,0.00,3030,2199,2746.80,3023,0,0.00,0,0.47,0.73,1.13,0.00
1.00,2.00,0.80,0.90,3030,683,2389.23,3014,0,0.00,0,0.34,0.73,1.16,0.00
