Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,0.25,5000,973,3900.67,4962,0,0.00,0,0.37,0.70,1.76,0.00
1.00,2.00,0.80,0.70,0.50,5000,973,3900.67,4962,0,0.00,0,0.37,0.70,1.76,0.00
1.00,2.00,0.80,0.70,0.75,5000,973,3900.67,4962,0,0.00,0,0.37,0.70,1.76,0.00
1.00,2.00,0.80,0.70,1.00,5000,973,3900.67,4962,0,0.00,0,0.37,0.70,1.76,0.00
1.00,2.00,0.80,0.20,0.25,5000,2487,4326.30,4999,0,0.00,0,0.45,0.71,1.30,0.00
1.00,2.00,0.80,0.20,0.50,5000,2487,4326.30,4999,0,0.00,0,0.45,0.71,1.30,0.00
1.00,2.00,0.80,0.20,0.75,5000,2487,4326.30,4999,0,0.00,0,0.45,0.71,1.30,0.00
1.00,2.00,0.80,0.20,1.00,5000,2487,4326.30,4999,0,0.00,0,0.45,0.71,1.30,0.00
1.00,2.00,0.80,0.60,0.00,5000,1794,4079.80,4956,0,0.00,0,0.33,0.71,1.64,0.00
1.00,2.00,0.80,0.80,0.25,5000,1378,3850.83,4814,0,0.00,0,0.39,0.71,1.21,0.00
1.00,2.00,0.80,0.80,0.50,5000,1378,3850.83,4814,0,0.00,0,0.39,0.71,1.21,0.00
1.00,2.00,0.80,0.80,0.75,5000,1378,3850.83,4814,0,0.00,0,0.39,0.71,1.21,0.00
1.00,2.00,0.80,0.80,1.00,5000,1378,3850.83,4814,0,0.00,0,0.39,0.71,1.21,0.00
1.00,2.00,0.80,0.60,0.25,5000,1243,3778.13,4993,0,0.00,0,0.35,0.71,1.57,0.00
1.00,2.00,0.80,0.60,0.50,5000,1243,3778.13,4993,0,0.00,0,0.35,0.71,1.57,0.00
1.00,2.00,0.80,0.60,0.75,5000,1243,3778.13,4993,0,0.00,0,0.35,0.71,1.57,0.00
1.00,2.00,0.80,0.60,1.00,5000,1243,3778.13,4993,0,0.00,0,0.35,0.71,1.57,0.00
1.00,2.00,0.80,0.70,0.00,5000,998,3748.63,4990,0,0.00,0,0.36,0.72,1.21,0.00
1.00,2.00,0.80,0.80,0.00,5000,1550,3853.27,4811,0,0.00,0,0.37,0.74,1.50,0.00
1.00,2.00,0.80,0.40,0.25,5000,1799,4327.93,4991,0,0.00,0,0.32,0.76,1.54,0.00
1.00,2.00,0.80,0.40,0.50,5000,1799,4327.93,4991,0,0.00,0,0.32,0.76,1.54,0.00
1.00,2.00,0.80,0.40,0.75,5000,1799,4327.93,4991,0,0.00,0,0.32,0.76,1.54,0.00
1.00,2.00,0.80,0.40,1.00,5000,1799,4327.93,4991,0,0.00,0,0.32,0.76,1.54,0.00
1.00,2.00,0.80,1.00,0.25,5000,664,3573.27,4991,0,0.00,0,0.34,0.77,2.06,0.00
1.00,2.00,0.80,1.00,0.50,5000,664,3573.27,4991,0,0.00,0,0.34,0.77,2.06,0.00
1.00,2.00,0.80,1.00,0.75,5000,664,3573.27,4991,0,0.00,0,0.34,0.77,2.06,0.00
1.00,2.00,0.80,1.00,1.00,5000,664,3573.27,4991,0,0.00,0,0.34,0.77,2.06,0.00
1.00,2.00,0.80,0.30,0.00,5000,1580,4188.47,4954,0,0.00,0,0.45,0.79,1.44,0.00
1.00,2.00,0.80,0.40,0.00,5000,689,3787.60,4955,0,0.00,0,0.42,0.80,1.71,0.00
1.00,2.00,0.80,0.20,0.00,5000,1573,4256.80,4974,0,0.00,0,0.38,0.80,1.82,0.00
