| Instance | Alpha | Beta | Evaporation | Exploration | Ants | Iterations | Average Result | Known Optimal | Deviation (%) | Success rate (%) | Time (ms) |
|-|-|-|-|-|-|-|-|-|-|-|
| ft53 | 1.00 | 2.00 | 0.50 | 10.00 | 53 | 500 | 7279 | 6905 | 5.42 | 0.00 | 310 |
| ft53 | 1.00 | 2.00 | 0.60 | 10.00 | 53 | 500 | 7261 | 6905 | 5.15 | 0.00 | 260 |
| ft53 | 1.00 | 2.00 | 0.70 | 10.00 | 53 | 500 | 7270 | 6905 | 5.29 | 0.00 | 248 |
| ft53 | 1.00 | 2.00 | 0.80 | 10.00 | 53 | 500 | 7515 | 6905 | 8.84 | 0.00 | 246 |
| ft53 | 1.00 | 2.50 | 0.50 | 10.00 | 53 | 500 | 7234 | 6905 | 4.76 | 0.00 | 260 |
| ft53 | 1.00 | 2.50 | 0.60 | 10.00 | 53 | 500 | 7260 | 6905 | 5.14 | 0.00 | 249 |
| ft53 | 1.00 | 2.50 | 0.70 | 10.00 | 53 | 500 | 7210 | 6905 | 4.41 | 0.00 | 251 |
| ft53 | 1.00 | 2.50 | 0.80 | 10.00 | 53 | 500 | 7312 | 6905 | 5.90 | 0.00 | 246 |
| ft53 | 1.00 | 3.00 | 0.50 | 10.00 | 53 | 500 | 7222 | 6905 | 4.59 | 0.00 | 241 |
| ft53 | 1.00 | 3.00 | 0.60 | 10.00 | 53 | 500 | 7244 | 6905 | 4.91 | 0.00 | 251 |
| ft53 | 1.00 | 3.00 | 0.70 | 10.00 | 53 | 500 | 7245 | 6905 | 4.93 | 0.00 | 247 |
| ft53 | 1.00 | 3.00 | 0.80 | 10.00 | 53 | 500 | 7297 | 6905 | 5.68 | 0.00 | 248 |
| ft53 | 1.00 | 3.50 | 0.50 | 10.00 | 53 | 500 | 7215 | 6905 | 4.49 | 0.00 | 265 |
| ft53 | 1.00 | 3.50 | 0.60 | 10.00 | 53 | 500 | 7189 | 6905 | 4.11 | 0.00 | 305 |
| ft53 | 1.00 | 3.50 | 0.70 | 10.00 | 53 | 500 | 7248 | 6905 | 4.97 | 0.00 | 279 |
| ft53 | 1.00 | 3.50 | 0.80 | 10.00 | 53 | 500 | 7257 | 6905 | 5.10 | 0.00 | 272 |
| ft53 | 1.00 | 4.00 | 0.50 | 10.00 | 53 | 500 | 7256 | 6905 | 5.08 | 0.00 | 271 |
| ft53 | 1.00 | 4.00 | 0.60 | 10.00 | 53 | 500 | 7244 | 6905 | 4.91 | 0.00 | 260 |
| ft53 | 1.00 | 4.00 | 0.70 | 10.00 | 53 | 500 | 7214 | 6905 | 4.47 | 0.00 | 250 |
| ft53 | 1.00 | 4.00 | 0.80 | 10.00 | 53 | 500 | 7249 | 6905 | 4.99 | 0.00 | 266 |
| ft53 | 1.00 | 4.50 | 0.50 | 10.00 | 53 | 500 | 7230 | 6905 | 4.71 | 0.00 | 255 |
| ft53 | 1.00 | 4.50 | 0.60 | 10.00 | 53 | 500 | 7259 | 6905 | 5.12 | 0.00 | 256 |
| ft53 | 1.00 | 4.50 | 0.70 | 10.00 | 53 | 500 | 7220 | 6905 | 4.56 | 0.00 | 251 |
| ft53 | 1.00 | 4.50 | 0.80 | 10.00 | 53 | 500 | 7261 | 6905 | 5.16 | 0.00 | 304 |
| ft53 | 1.00 | 5.00 | 0.50 | 10.00 | 53 | 500 | 7244 | 6905 | 4.91 | 0.00 | 278 |
| ft53 | 1.00 | 5.00 | 0.60 | 10.00 | 53 | 500 | 7233 | 6905 | 4.76 | 0.00 | 256 |
| ft53 | 1.00 | 5.00 | 0.70 | 10.00 | 53 | 500 | 7252 | 6905 | 5.02 | 0.00 | 270 |
| ft53 | 1.00 | 5.00 | 0.80 | 10.00 | 53 | 500 | 7281 | 6905 | 5.45 | 0.00 | 256 |

Best Parameters: Alpha: 1.00, Beta: 3.50, Evaporation: 0.60, Exploration: 10.00, Best Length: 7189, Deviation: 4.11%, Success rate: 0.00%
