Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Local search ants fraction,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.25,0.80,13,0.00,123,5,15.70,36,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.80,13,0.00,123,0,21.30,77,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.80,13,0.00,123,6,22.00,62,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.80,13,0.00,123,3,23.10,108,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.80,13,0.00,123,11,34.50,102,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.80,13,0.50,123,3,13.60,32,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.80,13,0.50,123,5,15.60,37,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.80,13,0.50,123,6,21.00,53,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.80,13,0.50,123,6,24.30,52,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.80,13,0.50,123,6,26.40,75,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.80,13,1.00,123,0,12.50,31,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.80,13,1.00,123,4,12.80,33,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.80,13,1.00,123,1,16.50,36,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.80,13,1.00,123,0,18.20,51,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.80,13,1.00,123,0,27.90,48,0,0.00,0,0.00,0.00,0.00,100.00,0
