Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.80,0.80,100,7,13.80,20,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.70,100,7,13.90,18,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,1.00,100,7,14.40,19,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.90,100,7,15.10,21,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.30,100,7,15.90,35,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.50,100,7,16.30,27,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.60,100,11,17.10,27,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.00,100,13,17.90,28,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.10,100,7,18.30,31,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.40,100,7,19.90,46,0,0.00,0,0.27,0.27,0.27,0.00,0
1.00,2.00,0.80,0.20,100,14,20.10,35,0,0.00,0,0.27,0.27,0.27,0.00,0
