Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,100,28,62.00,97,0,0.00,0,0.37,1.76,5.56,0.00
1.00,2.00,0.80,0.20,100,63,83.90,99,0,0.00,0,0.37,1.80,3.42,0.00
1.00,2.00,0.80,1.00,100,36,76.20,99,0,0.00,0,0.12,1.89,3.29,0.00
1.00,2.00,0.80,0.10,100,49,78.50,98,0,0.00,0,0.25,2.19,3.17,0.00
1.00,2.00,0.80,0.50,100,25,66.50,90,0,0.00,0,0.37,2.36,3.54,0.00
1.00,2.00,0.80,0.30,100,35,69.00,93,0,0.00,0,0.37,2.42,5.44,0.00
1.00,2.00,0.80,0.70,100,38,67.60,92,0,0.00,0,0.37,2.46,3.42,0.00
1.00,2.00,0.80,0.00,100,31,64.60,96,0,0.00,0,0.37,2.56,3.29,0.00
1.00,2.00,0.80,0.80,100,29,69.90,89,0,0.00,0,0.25,2.58,5.69,0.00
1.00,2.00,0.80,0.60,100,54,67.90,87,0,0.00,0,0.62,2.78,3.42,0.00
1.00,2.00,0.80,0.40,100,42,70.00,87,0,0.00,0,0.37,2.94,5.69,0.00
