Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,100,29,65.43,99,0,0.00,0,0.25,1.60,3.17,0.00
1.00,2.00,0.80,0.80,100,34,71.90,99,0,0.00,0,0.12,1.67,3.54,0.00
1.00,2.00,0.80,0.30,100,28,63.67,99,0,0.00,0,0.37,1.79,3.17,0.00
1.00,2.00,0.80,0.20,100,20,68.70,99,0,0.00,0,0.12,1.97,5.69,0.00
1.00,2.00,0.80,1.00,100,34,69.63,99,0,0.00,0,0.37,2.01,7.58,0.00
1.00,2.00,0.80,0.50,100,34,70.77,98,0,0.00,0,0.37,2.09,3.29,0.00
1.00,2.00,0.80,0.10,100,22,65.73,98,0,0.00,0,0.25,2.12,5.69,0.00
1.00,2.00,0.80,0.00,100,31,70.73,96,0,0.00,0,0.12,2.21,3.29,0.00
1.00,2.00,0.80,0.40,100,27,67.90,98,0,0.00,0,0.25,2.21,5.19,0.00
1.00,2.00,0.80,0.60,100,31,64.47,97,0,0.00,0,0.37,2.22,3.29,0.00
1.00,2.00,0.80,0.90,100,23,66.23,99,0,0.00,0,0.37,2.36,5.69,0.00
