Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,100,32,71.33,99,0,0.00,0,0.25,1.56,5.44,0.00
1.00,2.00,0.80,0.90,100,19,67.03,96,0,0.00,0,0.37,1.86,3.29,0.00
1.00,2.00,0.80,0.60,100,19,66.67,99,0,0.00,0,0.25,2.03,5.56,0.00
1.00,2.00,0.80,0.50,100,31,69.90,99,0,0.00,0,0.37,2.11,5.56,0.00
1.00,2.00,0.80,1.00,100,19,68.87,98,0,0.00,0,0.37,2.13,3.29,0.00
1.00,2.00,0.80,0.20,100,20,71.67,99,0,0.00,0,0.25,2.13,5.31,0.00
1.00,2.00,0.80,0.40,100,31,68.50,98,0,0.00,0,0.12,2.14,3.29,0.00
1.00,2.00,0.80,0.30,100,32,71.43,99,0,0.00,0,0.25,2.16,5.56,0.00
1.00,2.00,0.80,0.00,100,31,70.73,96,0,0.00,0,0.12,2.21,3.29,0.00
1.00,2.00,0.80,0.10,100,16,73.33,99,0,0.00,0,0.25,2.28,5.44,0.00
1.00,2.00,0.80,0.80,100,42,70.10,98,0,0.00,0,0.12,2.43,5.97,0.00
