Metric,Value
Instance,atex5
Dimension,72
Unique found-optimal tours,156
Unique found-optimal edges,353
Found-optimal edge density [%],6.91
Cycle cover cost,128.000000
Cycle cover gap to known optimum [%],97.57
Cycle cover cycles,35
Cycle cover min cycle length,2
Cycle cover avg cycle length,2.057143
Cycle cover max cycle length,4
Cycle cover edges,72
Cycle cover edge density [%],1.41
Cycle cover found-optimal edges,72
Cycle cover edges not seen in found-optimal tours,0
Cycle cover precision vs found-optimal edges [%],100.00
Cycle cover recall vs found-optimal edges [%],20.40
Cycle cover lift vs found-optimal edge density,14.481586
High CMSA threshold,1.000000
High CMSA edges,32
High CMSA edge density [%],0.63
High CMSA found-optimal edges,32
High CMSA edges not seen in found-optimal tours,0
High CMSA precision vs found-optimal edges [%],100.00
High CMSA recall vs found-optimal edges [%],9.07
High CMSA lift vs found-optimal edge density,14.481586
Cycle cover positive-CMSA edges,69
Cycle cover positive-CMSA edge density [%],1.35
Cycle cover positive-CMSA found-optimal edges,69
Cycle cover positive-CMSA edges not seen in found-optimal tours,0
Cycle cover positive-CMSA precision vs found-optimal edges [%],100.00
Cycle cover positive-CMSA recall vs found-optimal edges [%],19.55
Cycle cover positive-CMSA lift vs found-optimal edge density,14.481586
Cycle cover high-CMSA edges,32
Cycle cover high-CMSA edge density [%],0.63
Cycle cover high-CMSA found-optimal edges,32
Cycle cover high-CMSA edges not seen in found-optimal tours,0
Cycle cover high-CMSA precision vs found-optimal edges [%],100.00
Cycle cover high-CMSA recall vs found-optimal edges [%],9.07
Cycle cover high-CMSA lift vs found-optimal edge density,14.481586
Cycle cover edges with positive CMSA,69
Cycle cover edges with high CMSA,32
High-CMSA edges removed by cycle-cover gate,0
High-CMSA found-optimal edges removed by cycle-cover gate,0
High-CMSA precision gain from cycle-cover gate,0.000000
High-CMSA recall loss from cycle-cover gate,0.000000
Found-optimal edges in both cycle cover and high CMSA,32
Found-optimal edges in cycle cover but not high CMSA,40
Found-optimal edges in high CMSA but not cycle cover,0
Found-optimal edges in neither cycle cover nor high CMSA,281
