From,To,Distance,CMSA,Normalized CMSA,High CMSA,Found-optimal edge
0,40,2.000000,71.000000,1.000000,true,true
1,5,0.000000,71.000000,1.000000,true,true
2,42,2.000000,71.000000,1.000000,true,true
3,43,2.000000,71.000000,1.000000,true,true
4,12,2.000000,1.000000,0.014085,false,true
5,1,0.000000,1.000000,0.014085,false,true
6,14,2.000000,71.000000,1.000000,true,true
7,15,2.000000,71.000000,1.000000,true,true
8,48,2.000000,71.000000,1.000000,true,true
9,49,2.000000,71.000000,1.000000,true,true
10,50,2.000000,71.000000,1.000000,true,true
11,51,2.000000,71.000000,1.000000,true,true
12,4,2.000000,71.000000,1.000000,true,true
13,19,0.000000,71.000000,1.000000,true,true
14,6,2.000000,1.000000,0.014085,false,true
15,7,2.000000,1.000000,0.014085,false,true
16,28,2.000000,71.000000,1.000000,true,true
17,29,2.000000,71.000000,1.000000,true,true
18,30,2.000000,71.000000,1.000000,true,true
19,13,0.000000,1.000000,0.014085,false,true
20,60,2.000000,69.000000,0.971831,false,true
21,61,2.000000,71.000000,1.000000,true,true
22,62,2.000000,71.000000,1.000000,true,true
23,63,2.000000,9.000000,0.126761,false,true
24,36,2.000000,71.000000,1.000000,true,true
25,37,2.000000,71.000000,1.000000,true,true
26,38,2.000000,71.000000,1.000000,true,true
27,31,0.000000,71.000000,1.000000,true,true
28,16,2.000000,1.000000,0.014085,false,true
29,17,2.000000,1.000000,0.014085,false,true
30,18,2.000000,1.000000,0.014085,false,true
31,27,0.000000,1.000000,0.014085,false,true
32,68,2.000000,71.000000,1.000000,true,true
33,69,2.000000,71.000000,1.000000,true,true
34,70,2.000000,71.000000,1.000000,true,true
35,71,2.000000,71.000000,1.000000,true,true
36,24,2.000000,1.000000,0.014085,false,true
37,25,2.000000,1.000000,0.014085,false,true
38,26,2.000000,1.000000,0.014085,false,true
39,41,0.000000,71.000000,1.000000,true,true
40,0,2.000000,0.000000,0.000000,false,true
41,39,0.000000,1.000000,0.014085,false,true
42,2,2.000000,1.000000,0.014085,false,true
43,3,2.000000,1.000000,0.014085,false,true
44,52,2.000000,71.000000,1.000000,true,true
45,53,2.000000,53.000000,0.746479,false,true
46,54,2.000000,71.000000,1.000000,true,true
47,55,2.000000,71.000000,1.000000,true,true
48,8,2.000000,1.000000,0.014085,false,true
49,9,2.000000,1.000000,0.014085,false,true
50,10,2.000000,1.000000,0.014085,false,true
51,11,2.000000,1.000000,0.014085,false,true
52,44,2.000000,1.000000,0.014085,false,true
53,59,0.000000,71.000000,1.000000,true,true
54,46,2.000000,1.000000,0.014085,false,true
55,47,2.000000,1.000000,0.014085,false,true
56,64,2.000000,71.000000,1.000000,true,true
57,65,2.000000,61.000000,0.859155,false,true
58,66,2.000000,71.000000,1.000000,true,true
59,67,2.000000,0.000000,0.000000,false,true
60,20,2.000000,3.000000,0.042254,false,true
61,21,2.000000,1.000000,0.014085,false,true
62,22,2.000000,1.000000,0.014085,false,true
63,23,2.000000,63.000000,0.887324,false,true
64,56,2.000000,1.000000,0.014085,false,true
65,57,2.000000,11.000000,0.154930,false,true
66,58,2.000000,1.000000,0.014085,false,true
67,45,4.000000,0.000000,0.000000,false,true
68,32,2.000000,1.000000,0.014085,false,true
69,33,2.000000,1.000000,0.014085,false,true
70,34,2.000000,1.000000,0.014085,false,true
71,35,2.000000,1.000000,0.014085,false,true
