Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,84,85.71,20.40,12.412788,38,100.00,10.76,14.481586,46,34,0.142857,0.096317,45.24,52.78
0.200000,75,86.67,18.41,12.550708,36,100.00,10.20,14.481586,39,29,0.133333,0.082153,48.00,55.38
0.300000,74,86.49,18.13,12.524615,36,100.00,10.20,14.481586,38,28,0.135135,0.079320,48.65,56.25
0.400000,72,86.11,17.56,12.470255,36,100.00,10.20,14.481586,36,26,0.138889,0.073654,50.00,58.06
0.500000,72,86.11,17.56,12.470255,36,100.00,10.20,14.481586,36,26,0.138889,0.073654,50.00,58.06
0.600000,71,85.92,17.28,12.441926,36,100.00,10.20,14.481586,35,25,0.140845,0.070822,50.70,59.02
0.700000,69,88.41,17.28,12.802562,36,100.00,10.20,14.481586,33,25,0.115942,0.070822,52.17,59.02
0.800000,67,88.06,16.71,12.752442,35,100.00,9.92,14.481586,32,24,0.119403,0.067989,52.24,59.32
0.900000,60,88.33,15.01,12.792068,33,100.00,9.35,14.481586,27,20,0.116667,0.056657,55.00,62.26
1.000000,32,100.00,9.07,14.481586,32,100.00,9.07,14.481586,0,0,0.000000,0.000000,100.00,100.00
