Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,500,75,247.20,483,0,0.00,0,0.00,2.20,5.07,10.00
1.00,2.00,0.80,1.00,500,100,262.30,426,0,0.00,0,0.00,2.28,5.07,40.00
1.00,2.00,0.80,0.80,500,80,214.20,327,0,0.00,0,0.00,2.68,4.54,10.00
1.00,2.00,0.80,0.00,500,130,296.30,467,0,0.00,0,0.08,2.81,4.54,0.00
1.00,2.00,0.80,0.70,500,108,341.20,499,0,0.00,0,0.00,3.10,5.14,10.00
1.00,2.00,0.80,0.40,500,152,297.90,460,0,0.00,0,0.00,3.16,4.69,10.00
1.00,2.00,0.80,0.20,500,91,245.40,424,0,0.00,0,0.08,3.48,4.54,0.00
1.00,2.00,0.80,0.60,500,183,325.00,495,0,0.00,0,0.23,3.65,5.14,0.00
1.00,2.00,0.80,0.30,500,132,292.40,483,0,0.00,0,0.15,3.71,5.60,0.00
1.00,2.00,0.80,0.10,500,112,286.60,495,0,0.00,0,0.15,3.96,4.61,0.00
1.00,2.00,0.80,0.50,500,87,200.30,477,0,0.00,0,0.30,4.13,5.07,0.00
