Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.00,500,130,296.30,467,0,0.00,0,0.08,2.81,4.54,0.00
1.00,2.00,0.80,0.20,500,251,351.80,497,0,0.00,0,0.15,2.83,5.14,0.00
1.00,2.00,0.80,1.00,500,114,257.20,399,0,0.00,0,0.15,3.67,5.14,0.00
1.00,2.00,0.80,0.90,500,100,254.90,454,0,0.00,0,0.15,4.04,4.61,0.00
1.00,2.00,0.80,0.70,500,130,320.40,458,0,0.00,0,0.23,4.06,4.61,0.00
1.00,2.00,0.80,0.50,500,64,223.50,491,0,0.00,0,0.15,4.08,5.07,0.00
1.00,2.00,0.80,0.60,500,62,302.70,439,0,0.00,0,0.23,4.20,5.22,0.00
1.00,2.00,0.80,0.10,500,100,271.30,480,0,0.00,0,0.23,4.27,6.68,0.00
1.00,2.00,0.80,0.80,500,167,291.30,466,0,0.00,0,3.66,4.38,5.67,0.00
1.00,2.00,0.80,0.30,500,117,247.50,470,0,0.00,0,4.35,4.45,4.61,0.00
1.00,2.00,0.80,0.40,500,57,291.60,433,0,0.00,0,3.89,4.47,5.07,0.00
