Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.00,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.10,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.20,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.30,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.40,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.50,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.60,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.70,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.80,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.90,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,1.00,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
