Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.00,500,130,296.30,467,0,0.00,0,0.08,2.81,4.54,0.00
1.00,2.00,0.80,0.60,500,96,270.40,445,0,0.00,0,0.15,3.18,4.54,0.00
1.00,2.00,0.80,1.00,500,166,277.30,447,0,0.00,0,0.30,3.36,5.14,0.00
1.00,2.00,0.80,0.20,500,142,307.00,496,0,0.00,0,0.08,3.59,4.76,0.00
1.00,2.00,0.80,0.40,500,80,280.90,472,0,0.00,0,0.15,3.60,4.54,0.00
1.00,2.00,0.80,0.30,500,110,290.90,445,0,0.00,0,0.08,3.61,4.61,0.00
1.00,2.00,0.80,0.10,500,135,269.00,420,0,0.00,0,0.84,4.04,4.46,0.00
1.00,2.00,0.80,0.80,500,98,247.30,403,0,0.00,0,0.30,4.06,4.69,0.00
1.00,2.00,0.80,0.90,500,217,325.50,477,0,0.00,0,0.23,4.07,5.14,0.00
1.00,2.00,0.80,0.70,500,98,289.80,451,0,0.00,0,0.15,4.09,5.07,0.00
1.00,2.00,0.80,0.50,500,69,254.30,417,0,0.00,0,4.31,4.51,5.07,0.00
