Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,500,56,290.63,496,0,0.00,0,0.08,3.47,5.22,0.00
1.00,2.00,0.80,0.30,500,44,332.27,497,0,0.00,0,0.08,3.72,5.14,0.00
1.00,2.00,0.80,0.80,500,53,302.23,499,0,0.00,0,0.08,3.77,5.22,0.00
1.00,2.00,0.80,0.50,500,35,284.03,482,0,0.00,0,0.08,3.77,5.14,0.00
1.00,2.00,0.80,0.00,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,1.00,500,55,277.73,477,0,0.00,0,0.08,3.96,5.52,0.00
1.00,2.00,0.80,0.10,500,102,296.67,489,0,0.00,0,0.23,4.11,6.60,0.00
1.00,2.00,0.80,0.90,500,76,287.03,494,0,0.00,0,0.08,4.13,6.53,0.00
1.00,2.00,0.80,0.20,500,41,302.60,496,0,0.00,0,0.00,4.19,5.30,3.33
1.00,2.00,0.80,0.70,500,36,293.43,483,0,0.00,0,0.15,4.31,6.53,0.00
1.00,2.00,0.80,0.60,500,76,291.33,479,0,0.00,0,0.15,4.44,6.76,0.00
