Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,500,49,313.27,490,0,0.00,0,0.08,3.04,4.99,0.00
1.00,2.00,0.80,0.80,500,101,253.83,469,0,0.00,0,0.08,3.35,5.22,0.00
1.00,2.00,0.80,0.60,500,31,288.73,485,0,0.00,0,0.08,3.68,5.60,0.00
1.00,2.00,0.80,0.40,500,72,295.37,497,0,0.00,0,0.08,3.71,5.45,0.00
1.00,2.00,0.80,0.00,500,117,297.87,467,0,0.00,0,0.08,3.80,5.22,0.00
1.00,2.00,0.80,0.50,500,120,331.63,496,0,0.00,0,0.15,3.83,5.75,0.00
1.00,2.00,0.80,1.00,500,23,259.93,475,0,0.00,0,0.08,3.87,5.92,0.00
1.00,2.00,0.80,0.20,500,55,301.70,488,0,0.00,0,0.08,4.06,5.22,0.00
1.00,2.00,0.80,0.70,500,63,329.47,495,0,0.00,0,0.08,4.09,7.63,0.00
1.00,2.00,0.80,0.10,500,78,309.97,497,0,0.00,0,0.08,4.10,5.22,0.00
1.00,2.00,0.80,0.90,500,73,247.03,493,0,0.00,0,0.23,4.30,5.52,0.00
