Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.00,500,130,296.30,467,0,0.00,0,0.08,2.81,4.54,0.00
1.00,2.00,0.80,0.20,500,85,309.40,480,0,0.00,0,0.15,3.29,5.14,0.00
1.00,2.00,0.80,0.70,500,37,220.30,375,0,0.00,0,0.15,3.56,4.99,0.00
1.00,2.00,0.80,0.90,500,82,265.60,440,0,0.00,0,0.15,3.91,4.46,0.00
1.00,2.00,0.80,0.30,500,103,298.90,469,0,0.00,0,0.46,4.03,4.61,0.00
1.00,2.00,0.80,0.60,500,123,321.30,486,0,0.00,0,0.23,4.05,5.14,0.00
1.00,2.00,0.80,0.40,500,75,216.80,487,0,0.00,0,0.15,4.13,5.22,0.00
1.00,2.00,0.80,0.50,500,36,237.90,464,0,0.00,0,0.38,4.22,5.07,0.00
1.00,2.00,0.80,1.00,500,31,202.40,464,0,0.00,0,4.38,4.49,4.84,0.00
1.00,2.00,0.80,0.10,500,106,222.70,446,0,0.00,0,3.85,4.49,5.14,0.00
1.00,2.00,0.80,0.80,500,32,235.40,462,0,0.00,0,4.31,4.56,5.14,0.00
