Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,0,39,0.00,100.00,68.75,6
1.00,5.00,0.80,0.05,0.00,0.25,0,39,0.00,100.00,81.25,9
1.00,5.00,0.80,0.05,0.00,0.50,1,39,0.00,100.00,81.25,8
1.00,5.00,0.80,0.05,0.00,0.75,0,39,0.00,100.00,81.25,8
1.00,5.00,0.80,0.05,0.00,1.00,0,39,0.00,100.00,75.00,9
1.00,5.00,0.80,0.05,0.25,0.00,0,39,0.00,100.00,75.00,6
1.00,5.00,0.80,0.05,0.25,0.25,0,39,0.00,100.00,75.00,7
1.00,5.00,0.80,0.05,0.25,0.50,0,39,0.00,100.00,81.25,8
1.00,5.00,0.80,0.05,0.25,0.75,0,39,0.00,100.00,87.50,8
1.00,5.00,0.80,0.05,0.25,1.00,0,39,0.00,100.00,93.75,9
1.00,5.00,0.80,0.05,0.50,0.00,0,39,0.00,100.00,75.00,6
1.00,5.00,0.80,0.05,0.50,0.25,0,39,0.00,100.00,75.00,7
1.00,5.00,0.80,0.05,0.50,0.50,0,39,0.00,100.00,75.00,8
1.00,5.00,0.80,0.05,0.50,0.75,0,39,0.00,100.00,87.50,10
1.00,5.00,0.80,0.05,0.50,1.00,0,39,0.00,100.00,93.75,9
1.00,5.00,0.80,0.05,0.75,0.00,0,39,0.00,100.00,87.50,6
1.00,5.00,0.80,0.05,0.75,0.25,0,39,0.00,100.00,81.25,7
1.00,5.00,0.80,0.05,0.75,0.50,0,39,0.00,100.00,81.25,8
1.00,5.00,0.80,0.05,0.75,0.75,0,39,0.00,100.00,75.00,8
1.00,5.00,0.80,0.05,0.75,1.00,0,39,0.00,100.00,81.25,9
1.00,5.00,0.80,0.05,1.00,0.00,0,39,0.00,100.00,75.00,6
1.00,5.00,0.80,0.05,1.00,0.25,0,39,0.00,100.00,68.75,7
1.00,5.00,0.80,0.05,1.00,0.50,0,39,0.00,100.00,81.25,8
1.00,5.00,0.80,0.05,1.00,0.75,0,39,0.00,100.00,75.00,8
1.00,5.00,0.80,0.05,1.00,1.00,0,39,0.00,100.00,68.75,9
